Date,VZ.US
1986-09-02,5.4523
1986-09-03,5.39315
1986-09-04,5.3576
1986-09-05,5.1508
1986-09-08,5.06774
1986-09-09,5.12137
1986-09-10,5.13905
1986-09-11,4.84909
1986-09-12,4.79586
1986-09-15,4.87902
1986-09-16,4.88474
1986-09-17,4.83122
1986-09-18,4.81976
1986-09-19,4.84909
1986-09-22,4.92
1986-09-23,5.02073
1986-09-24,4.99703
1986-09-25,4.83724
1986-09-26,4.90252
1986-09-29,4.84909
1986-09-30,4.75448
1986-10-01,4.83122
1986-10-02,4.78411
1986-10-03,4.79586
1986-10-06,4.83122
1986-10-07,4.78411
1986-10-08,4.81976
1986-10-09,4.88474
1986-10-10,4.8965
1986-10-13,4.87902
1986-10-14,4.84909
1986-10-15,4.84909
1986-10-16,4.90252
1986-10-17,4.85492
1986-10-20,4.74866
1986-10-21,4.74866
1986-10-22,4.70125
1986-10-23,4.73681
1986-10-24,4.73128
1986-10-27,4.73128
1986-10-28,4.71933
1986-10-29,4.77265
1986-10-30,4.81976
1986-10-31,4.9438
1986-11-03,5.02636
1986-11-04,5.00296
1986-11-05,4.99703
1986-11-06,5.01481
1986-11-07,5.01481
1986-11-10,5.03209
1986-11-11,4.97926
1986-11-12,4.94973
1986-11-13,4.90252
1986-11-14,4.92
1986-11-17,4.91408
1986-11-18,4.85492
1986-11-19,4.83122
1986-11-20,4.93195
1986-11-21,5.09747
1986-11-24,5.127
1986-11-25,5.14467
1986-11-26,5.07989
1986-11-28,5.10942
1986-12-01,5.09747
1986-12-02,5.23356
1986-12-03,5.22753
1986-12-04,5.21558
1986-12-05,5.20995
1986-12-08,5.39315
1986-12-09,5.32826
1986-12-10,5.29854
1986-12-11,5.198
1986-12-12,5.22753
1986-12-15,5.28076
1986-12-16,5.37517
1986-12-17,5.32826
1986-12-18,5.27494
1986-12-19,5.3576
1986-12-22,5.3576
1986-12-23,5.29261
1986-12-24,5.28689
1986-12-26,5.26328
1986-12-29,5.23948
1986-12-30,5.14467
1986-12-31,5.05016
1987-01-02,5.22151
1987-01-05,5.26328
1987-01-06,5.23948
1987-01-07,5.27494
1987-01-08,5.30456
1987-01-09,5.3576
1987-01-12,5.37517
1987-01-13,5.31019
1987-01-14,5.31019
1987-01-15,5.3576
1987-01-16,5.36974
1987-01-19,5.36974
1987-01-20,5.38752
1987-01-21,5.41675
1987-01-22,5.46998
1987-01-23,5.48183
1987-01-26,5.49961
1987-01-27,5.48183
1987-01-28,5.51739
1987-01-29,5.49961
1987-01-30,5.58247
1987-02-02,5.58247
1987-02-03,5.57644
1987-02-04,5.59412
1987-02-05,5.59412
1987-02-06,5.57644
1987-02-09,5.48776
1987-02-10,5.37517
1987-02-11,5.36974
1987-02-12,5.25716
1987-02-13,5.23948
1987-02-17,5.29261
1987-02-18,5.34041
1987-02-19,5.41675
1987-02-20,5.52924
1987-02-23,5.42297
1987-02-24,5.39917
1987-02-25,5.41675
1987-02-26,5.3576
1987-02-27,5.41675
1987-03-02,5.3576
1987-03-03,5.3576
1987-03-04,5.3576
1987-03-05,5.3576
