Date,PFE.US
1986-09-02,1.30308
1986-09-03,1.28999
1986-09-04,1.2701
1986-09-05,1.25692
1986-09-08,1.21754
1986-09-09,1.21076
1986-09-10,1.21754
1986-09-11,1.16459
1986-09-12,1.13861
1986-09-15,1.1517
1986-09-16,1.15809
1986-09-17,1.13172
1986-09-18,1.10553
1986-09-19,1.13172
1986-09-22,1.12522
1986-09-23,1.15809
1986-09-24,1.17168
1986-09-25,1.13861
1986-09-26,1.12522
1986-09-29,1.10553
1986-09-30,1.12522
1986-10-01,1.11873
1986-10-02,1.11873
1986-10-03,1.11873
1986-10-06,1.10553
1986-10-07,1.09914
1986-10-08,1.11213
1986-10-09,1.10553
1986-10-10,1.11213
1986-10-13,1.11873
1986-10-14,1.11213
1986-10-15,1.1451
1986-10-16,1.16459
1986-10-17,1.16459
1986-10-20,1.1517
1986-10-21,1.1451
1986-10-22,1.13172
1986-10-23,1.16459
1986-10-24,1.1517
1986-10-27,1.1517
1986-10-28,1.16459
1986-10-29,1.17168
1986-10-30,1.17788
1986-10-31,1.15809
1986-11-03,1.17168
1986-11-04,1.15809
1986-11-05,1.17168
1986-11-06,1.18398
1986-11-07,1.20426
1986-11-10,1.19777
1986-11-11,1.20426
1986-11-12,1.17788
1986-11-13,1.16459
1986-11-14,1.17788
1986-11-17,1.17168
1986-11-18,1.13172
1986-11-19,1.1517
1986-11-20,1.17168
1986-11-21,1.19777
1986-11-24,1.21754
1986-11-25,1.21076
1986-11-26,1.19777
1986-11-28,1.19137
1986-12-01,1.18398
1986-12-02,1.21076
1986-12-03,1.23723
1986-12-04,1.24373
1986-12-05,1.22404
1986-12-08,1.22404
1986-12-09,1.23074
1986-12-10,1.22404
1986-12-11,1.21076
1986-12-12,1.19137
1986-12-15,1.19137
1986-12-16,1.19137
1986-12-17,1.19137
1986-12-18,1.21076
1986-12-19,1.20426
1986-12-22,1.18398
1986-12-23,1.16459
1986-12-24,1.18398
1986-12-26,1.22404
1986-12-29,1.19777
1986-12-30,1.19777
1986-12-31,1.19137
1987-01-02,1.21076
1987-01-05,1.23723
1987-01-06,1.26352
1987-01-07,1.2701
1987-01-08,1.28339
1987-01-09,1.28339
1987-01-12,1.28339
1987-01-13,1.25692
1987-01-14,1.2701
1987-01-15,1.27651
1987-01-16,1.27651
1987-01-19,1.27651
1987-01-20,1.2701
1987-01-21,1.25042
1987-01-22,1.29629
1987-01-23,1.28999
1987-01-26,1.28339
1987-01-27,1.32267
1987-01-28,1.35544
1987-01-29,1.34265
1987-01-30,1.32936
1987-02-02,1.34924
1987-02-03,1.34924
1987-02-04,1.34924
1987-02-05,1.34924
1987-02-06,1.34924
1987-02-09,1.34924
1987-02-10,1.33566
1987-02-11,1.34924
1987-02-12,1.35544
1987-02-13,1.38842
1987-02-17,1.50033
1987-02-18,1.46095
1987-02-19,1.46765
1987-02-20,1.45417
1987-02-23,1.41509
1987-02-24,1.42129
1987-02-25,1.44787
1987-02-26,1.43448
1987-02-27,1.42808
1987-03-02,1.3951
1987-03-03,1.38842
1987-03-04,1.42129
1987-03-05,1.43448
1987-03-06,1.43448
1987-03-09,1.42129
1987-03-10,1.44128
1987-03-11,1.47395
1987-03-12,1.44787
1987-03-13,1.44128
1987-03-16,1.43448
1987-03-17,1.44787
1987-03-18,1.46095
1987-03-19,1.47395
1987-03-20,1.47395
1987-03-23,1.48724
1987-03-24,1.48724
1987-03-25,1.45417
1987-03-26,1.46765
1987-03-27,1.43448
1987-03-30,1.4081
1987-03-31,1.42129
1987-04-01,1.42808
1987-04-02,1.44787
1987-04-03,1.46765
1987-04-06,1.48044
1987-04-07,1.43448
1987-04-08,1.43448
1987-04-09,1.4081
1987-04-10,1.41509
1987-04-13,1.36883
1987-04-14,1.34265
1987-04-15,1.29629
1987-04-16,1.32936
1987-04-20,1.30968
1987-04-21,1.36233
1987-04-22,1.31617
1987-04-23,1.32936
1987-04-24,1.29629
1987-04-27,1.32267
1987-04-28,1.34924
1987-04-29,1.36233
1987-04-30,1.38231
1987-05-01,1.36233
1987-05-04,1.36883
1987-05-05,1.37562
1987-05-06,1.36883
1987-05-07,1.34924
1987-05-08,1.34265
1987-05-11,1.31617
1987-05-12,1.32936
1987-05-13,1.33566
1987-05-14,1.32267
1987-05-15,1.27651
1987-05-18,1.25692
1987-05-19,1.23074
1987-05-20,1.21754
1987-05-21,1.23074
1987-05-22,1.24373
1987-05-26,1.28339
1987-05-27,1.28339
1987-05-28,1.28999
1987-05-29,1.28999
1987-06-01,1.28999
1987-06-02,1.29629
1987-06-03,1.34924
1987-06-04,1.36233
1987-06-05,1.35544
1987-06-08,1.36883
1987-06-09,1.36883
1987-06-10,1.36883
1987-06-11,1.38231
1987-06-12,1.38231
1987-06-15,1.37562
1987-06-16,1.38842
1987-06-17,1.38842
1987-06-18,1.38231
1987-06-19,1.38842
1987-06-22,1.4081
1987-06-23,1.44787
1987-06-24,1.42808
1987-06-25,1.44128
1987-06-26,1.45417
1987-06-29,1.44787
1987-06-30,1.42129
1987-07-01,1.4081
1987-07-02,1.43448
1987-07-06,1.42808
1987-07-07,1.42808
1987-07-08,1.41509
1987-07-09,1.41509
1987-07-10,1.42129
1987-07-13,1.3951
1987-07-14,1.4019
1987-07-15,1.4081
1987-07-16,1.41509
1987-07-17,1.42129
1987-07-20,1.42808
1987-07-21,1.41509
1987-07-22,1.41509
1987-07-23,1.41509
1987-07-24,1.43448
1987-07-27,1.44128
1987-07-28,1.43448
1987-07-29,1.44128
1987-07-30,1.49393
1987-07-31,1.46765
1987-08-03,1.46095
1987-08-04,1.44128
1987-08-05,1.44787
1987-08-06,1.47395
1987-08-07,1.48044
1987-08-10,1.50033
1987-08-11,1.49393
1987-08-12,1.48044
1987-08-13,1.50683
1987-08-14,1.50033
1987-08-17,1.48724
1987-08-18,1.46095
1987-08-19,1.46095
1987-08-20,1.45417
1987-08-21,1.46095
1987-08-24,1.44128
1987-08-25,1.44128
1987-08-26,1.44787
1987-08-27,1.45417
1987-08-28,1.42808
1987-08-31,1.4081
1987-09-01,1.42808
1987-09-02,1.4019
1987-09-03,1.38231
1987-09-04,1.38231
1987-09-08,1.34924
1987-09-09,1.35544
1987-09-10,1.36233
1987-09-11,1.38842
1987-09-14,1.4019
1987-09-15,1.38231
1987-09-16,1.37562
1987-09-17,1.36233
1987-09-18,1.35544
1987-09-21,1.36233
1987-09-22,1.37562
1987-09-23,1.36883
1987-09-24,1.36233
1987-09-25,1.36233
1987-09-28,1.38231
1987-09-29,1.38231
1987-09-30,1.37562
1987-10-01,1.36883
1987-10-02,1.38231
1987-10-05,1.38231
1987-10-06,1.34924
1987-10-07,1.33566
1987-10-08,1.32267
1987-10-09,1.30968
1987-10-12,1.30308
1987-10-13,1.30968
1987-10-14,1.2701
1987-10-15,1.18398
1987-10-16,1.17788
1987-10-19,0.974037
1987-10-20,1.02001
1987-10-21,1.12522
1987-10-22,1.05298
1987-10-23,1.0136
1987-10-26,0.894803
1987-10-27,0.974037
1987-10-28,0.98014
1987-10-29,1.0136
1987-10-30,1.04628
1987-11-02,1.08585
1987-11-03,1.08585
1987-11-04,1.05957
1987-11-05,1.06617
1987-11-06,1.06617
