Date,MMM.US
1986-09-02,6.43692
1986-09-03,6.50189
1986-09-04,6.58147
1986-09-05,6.55255
1986-09-08,6.66789
1986-09-09,6.7115
1986-09-10,6.68965
1986-09-11,6.35716
1986-09-12,6.16215
1986-09-15,6.11893
1986-09-16,6.10462
1986-09-17,6.06856
1986-09-18,6.06856
1986-09-19,5.90962
1986-09-22,6.02496
1986-09-23,6.0179
1986-09-24,6.0469
1986-09-25,6.0034
1986-09-26,5.98174
1986-09-29,5.82975
1986-09-30,5.88061
1986-10-01,5.93098
1986-10-02,5.93098
1986-10-03,5.87345
1986-10-06,5.88777
1986-10-07,5.84435
1986-10-08,5.88777
1986-10-09,5.93843
1986-10-10,5.98174
1986-10-13,6.03926
1986-10-14,6.03926
1986-10-15,6.27063
1986-10-16,6.27797
1986-10-17,6.28513
1986-10-20,6.14049
1986-10-21,6.13354
1986-10-22,6.14784
1986-10-23,6.34285
1986-10-24,6.31384
1986-10-27,6.38626
1986-10-28,6.42958
1986-10-29,6.38626
1986-10-30,6.44388
1986-10-31,6.38626
1986-11-03,6.37156
1986-11-04,6.37882
1986-11-05,6.38626
1986-11-06,6.38626
1986-11-07,6.39332
1986-11-10,6.50189
1986-11-11,6.51659
1986-11-12,6.531
1986-11-13,6.42958
1986-11-14,6.45142
1986-11-17,6.40782
1986-11-18,6.26357
1986-11-19,6.27797
1986-11-20,6.3646
1986-11-21,6.50189
1986-11-24,6.63193
1986-11-25,6.66074
1986-11-26,6.66074
1986-11-28,6.60293
1986-12-01,6.64673
1986-12-02,6.80518
1986-12-03,6.72591
1986-12-04,6.74746
1986-12-05,6.72591
1986-12-08,6.83429
1986-12-09,6.79068
1986-12-10,6.83429
1986-12-11,6.75472
1986-12-12,6.75472
1986-12-15,6.79068
1986-12-16,6.85565
1986-12-17,6.83429
1986-12-18,6.85565
1986-12-19,6.85565
1986-12-22,6.92836
1986-12-23,6.94247
1986-12-24,6.93522
1986-12-26,6.94247
1986-12-29,6.90661
1986-12-30,6.89171
1986-12-31,6.87741
1987-01-02,6.94953
1987-01-05,7.02195
1987-01-06,7.05076
1987-01-07,7.09427
1987-01-08,7.07976
1987-01-09,7.04351
1987-01-12,7.00755
1987-01-13,6.94247
1987-01-14,7.07976
1987-01-15,7.34003
1987-01-16,7.39765
1987-01-19,7.57924
1987-01-20,7.68674
1987-01-21,7.62794
1987-01-22,7.89556
1987-01-23,7.47076
1987-01-26,7.59394
1987-01-27,7.73661
1987-01-28,7.76493
1987-01-29,7.67959
1987-01-30,7.62794
1987-02-02,7.67959
1987-02-03,7.62088
1987-02-04,7.61354
1987-02-05,7.60658
1987-02-06,7.60658
1987-02-09,7.68674
1987-02-10,7.64244
1987-02-11,7.72309
1987-02-12,7.73661
1987-02-13,7.67312
1987-02-17,7.78051
1987-02-18,7.82422
1987-02-19,7.83187
1987-02-20,7.69399
1987-02-23,7.52779
1987-02-24,7.5423
1987-02-25,7.5712
1987-02-26,7.52074
1987-02-27,7.5712
1987-03-02,7.54974
1987-03-03,7.52779
1987-03-04,7.53465
1987-03-05,7.5712
1987-03-06,7.53465
1987-03-09,7.43343
1987-03-10,7.44077
1987-03-11,7.40461
1987-03-12,7.38315
1987-03-13,7.37609
1987-03-16,7.33249
1987-03-17,7.49085
1987-03-18,7.46292
1987-03-19,7.61354
1987-03-20,7.82422
1987-03-23,7.90978
1987-03-24,7.88822
1987-03-25,7.82422
1987-03-26,7.88038
1987-03-27,7.8741
1987-03-30,7.65048
1987-03-31,7.67959
1987-04-01,7.67959
1987-04-02,7.62794
1987-04-03,7.80962
1987-04-06,7.9471
1987-04-07,7.93946
1987-04-08,8.06872
1987-04-09,7.99718
1987-04-10,7.85392
1987-04-13,7.62794
1987-04-14,7.47674
1987-04-15,7.5127
1987-04-16,7.39051
1987-04-20,7.36179
1987-04-21,7.65048
1987-04-22,7.50574
1987-04-23,7.5569
1987-04-24,7.4983
1987-04-27,7.5569
1987-04-28,7.36179
1987-04-29,7.43343
1987-04-30,7.58649
1987-05-01,7.46292
1987-05-04,7.59394
1987-05-05,7.85392
1987-05-06,7.76493
1987-05-07,7.64244
1987-05-08,7.57924
1987-05-11,7.47674
1987-05-12,7.65803
1987-05-13,7.70143
1987-05-14,7.6006
1987-05-15,7.43343
1987-05-18,7.47674
1987-05-19,7.44851
1987-05-20,7.6006
1987-05-21,7.54974
1987-05-22,7.58649
1987-05-26,7.73073
1987-05-27,7.74377
1987-05-28,7.76493
1987-05-29,7.65048
1987-06-01,7.62088
1987-06-02,7.67312
1987-06-03,7.74377
1987-06-04,7.78747
1987-06-05,7.84676
1987-06-08,7.89556
1987-06-09,7.8741
1987-06-10,7.95386
1987-06-11,8.00394
1987-06-12,8.09155
1987-06-15,8.08371
1987-06-16,8.30126
1987-06-17,8.30126
1987-06-18,8.30126
1987-06-19,8.25814
1987-06-22,8.55261
1987-06-23,8.45275
1987-06-24,8.56711
1987-06-25,8.72038
1987-06-26,8.62581
1987-06-29,8.62581
1987-06-30,8.48225
1987-07-01,8.35848
1987-07-02,8.40043
1987-07-06,8.19141
1987-07-07,8.32988
1987-07-08,8.35848
1987-07-09,8.30126
1987-07-10,8.27078
1987-07-13,8.46707
1987-07-14,8.55261
1987-07-15,8.48225
1987-07-16,8.48225
1987-07-17,8.42963
1987-07-20,8.42963
1987-07-21,8.31596
1987-07-22,8.34378
1987-07-23,8.35848
1987-07-24,8.53841
1987-07-27,8.62581
1987-07-28,8.48225
1987-07-29,8.64218
1987-07-30,8.85022
1987-07-31,8.81984
1987-08-03,8.7049
1987-08-04,8.61121
1987-08-05,8.83631
1987-08-06,8.98829
1987-08-07,9.00054
1987-08-10,9.0957
1987-08-11,9.45052
1987-08-12,9.50834
1987-08-13,9.83956
1987-08-14,9.81016
1987-08-17,9.83368
1987-08-18,9.56518
1987-08-19,9.55048
1987-08-20,9.76117
1987-08-21,9.67591
1987-08-24,9.53676
1987-08-25,9.88268
1987-08-26,9.92772
1987-08-27,9.83368
1987-08-28,9.4711
1987-08-31,9.60732
1987-09-01,9.44269
1987-09-02,9.39761
1987-09-03,9.24749
1987-09-04,9.02357
1987-09-08,9.14685
1987-09-09,9.0663
1987-09-10,9.1883
1987-09-11,9.41231
1987-09-14,9.32608
1987-09-15,9.21907
1987-09-16,9.11676
1987-09-17,9.11676
1987-09-18,9.21907
1987-09-21,9.20163
1987-09-22,9.50834
1987-09-23,9.63965
1987-09-24,9.63965
1987-09-25,9.62299
1987-09-28,9.96791
1987-09-29,9.74353
1987-09-30,9.83368
1987-10-01,9.98166
1987-10-02,9.96791
1987-10-05,9.91307
1987-10-06,9.45738
1987-10-07,9.55048
1987-10-08,9.55048
1987-10-09,9.41231
1987-10-12,9.07942
1987-10-13,9.20163
