Date,JNJ.US
1986-09-02,2.44141
1986-09-03,2.44867
1986-09-04,2.4271
1986-09-05,2.38428
1986-09-08,2.34811
1986-09-09,2.31989
1986-09-10,2.29813
1986-09-11,2.21894
1986-09-12,2.16151
1986-09-15,2.17602
1986-09-16,2.17602
1986-09-17,2.16151
1986-09-18,2.13279
1986-09-19,2.07507
1986-09-22,2.11123
1986-09-23,2.1469
1986-09-24,2.21179
1986-09-25,2.15426
1986-09-26,2.16876
1986-09-29,2.17602
1986-09-30,2.20463
1986-10-01,2.21894
1986-10-02,2.22619
1986-10-03,2.21894
1986-10-06,2.19033
1986-10-07,2.21894
1986-10-08,2.26892
1986-10-09,2.27657
1986-10-10,2.26236
1986-10-13,2.26236
1986-10-14,2.30519
1986-10-15,2.35536
1986-10-16,2.40534
1986-10-17,2.41309
1986-10-20,2.36252
1986-10-21,2.36977
1986-10-22,2.39143
1986-10-23,2.39849
1986-10-24,2.36252
1986-10-27,2.39143
1986-10-28,2.36252
1986-10-29,2.37693
1986-10-30,2.39143
1986-10-31,2.40534
1986-11-03,2.39849
1986-11-04,2.40534
1986-11-05,2.4271
1986-11-06,2.4271
1986-11-07,2.39143
1986-11-10,2.40534
1986-11-11,2.41309
1986-11-12,2.41309
1986-11-13,2.34811
1986-11-14,2.37693
1986-11-17,2.34106
1986-11-18,2.26236
1986-11-19,2.29813
1986-11-20,2.334
1986-11-21,2.39849
1986-11-24,2.43426
1986-11-25,2.41985
1986-11-26,2.40534
1986-11-28,2.36977
1986-12-01,2.34811
1986-12-02,2.41985
1986-12-03,2.44867
1986-12-04,2.40534
1986-12-05,2.39849
1986-12-08,2.45582
1986-12-09,2.44141
1986-12-10,2.47778
1986-12-11,2.44141
1986-12-12,2.38428
1986-12-15,2.39849
1986-12-16,2.41985
1986-12-17,2.39849
1986-12-18,2.36977
1986-12-19,2.36252
1986-12-22,2.31989
1986-12-23,2.29058
1986-12-24,2.31214
1986-12-26,2.34811
1986-12-29,2.29813
1986-12-30,2.30519
1986-12-31,2.26892
1987-01-02,2.334
1987-01-05,2.41985
1987-01-06,2.41309
1987-01-07,2.41309
1987-01-08,2.38428
1987-01-09,2.40534
1987-01-12,2.38428
1987-01-13,2.36977
1987-01-14,2.41985
1987-01-15,2.47778
1987-01-16,2.5203
1987-01-19,2.59969
1987-01-20,2.54206
1987-01-21,2.54206
1987-01-22,2.59969
1987-01-23,2.59969
1987-01-26,2.60665
1987-01-27,2.68564
1987-01-28,2.68564
1987-01-29,2.64242
1987-01-30,2.62116
1987-02-02,2.63546
1987-02-03,2.66438
1987-02-04,2.71436
1987-02-05,2.72867
1987-02-06,2.72171
1987-02-09,2.6928
1987-02-10,2.66438
1987-02-11,2.77169
1987-02-12,2.77169
1987-02-13,2.85813
1987-02-17,2.98711
1987-02-18,3.00857
1987-02-19,2.96574
1987-02-20,2.92272
1987-02-23,2.88665
1987-02-24,2.95133
1987-02-25,2.95133
1987-02-26,2.95133
1987-02-27,2.99456
1987-03-02,2.98711
1987-03-03,3.04464
1987-03-04,3.1741
1987-03-05,3.1597
1987-03-06,3.13823
1987-03-09,3.07345
1987-03-10,3.13823
1987-03-11,3.14519
1987-03-12,3.11647
1987-03-13,3.12403
1987-03-16,3.08766
1987-03-17,3.15254
1987-03-18,3.12403
1987-03-19,3.13088
1987-03-20,3.16655
1987-03-23,3.22448
1987-03-24,3.22448
1987-03-25,3.15254
1987-03-26,3.1741
1987-03-27,3.11647
1987-03-30,3.05189
1987-03-31,3.07345
1987-04-01,3.12403
1987-04-02,3.08766
1987-04-03,3.12403
1987-04-06,3.16655
1987-04-07,3.14519
1987-04-08,3.14519
1987-04-09,3.10962
1987-04-10,3.14519
1987-04-13,3.09511
1987-04-14,2.9728
1987-04-15,2.99456
1987-04-16,2.99456
1987-04-20,2.98005
1987-04-21,3.07345
1987-04-22,3.03798
1987-04-23,3.05904
1987-04-24,3.02337
1987-04-27,3.03033
1987-04-28,3.05189
1987-04-29,3.03033
1987-04-30,3.03033
1987-05-01,2.99456
1987-05-04,3.01602
1987-05-05,3.11647
1987-05-06,3.07345
1987-05-07,3.04464
1987-05-08,3.03033
1987-05-11,2.98711
1987-05-12,3.00151
1987-05-13,2.99456
1987-05-14,2.9728
1987-05-15,2.88665
1987-05-18,2.8796
1987-05-19,2.80776
1987-05-20,2.86509
1987-05-21,2.87234
1987-05-22,2.90116
1987-05-26,2.95869
1987-05-27,2.94428
1987-05-28,2.9728
1987-05-29,3.00151
1987-06-01,2.98005
1987-06-02,3.01602
1987-06-03,3.0806
1987-06-04,3.0806
1987-06-05,3.0663
1987-06-08,3.11647
1987-06-09,3.11647
1987-06-10,3.0806
1987-06-11,3.10962
1987-06-12,3.19576
1987-06-15,3.19576
1987-06-16,3.18086
1987-06-17,3.18086
1987-06-18,3.25965
1987-06-19,3.2678
1987-06-22,3.30337
1987-06-23,3.30337
1987-06-24,3.23879
1987-06-25,3.2678
1987-06-26,3.23879
1987-06-29,3.2678
1987-06-30,3.21027
1987-07-01,3.18086
1987-07-02,3.16655
1987-07-06,3.11647
1987-07-07,3.16655
1987-07-08,3.19576
1987-07-09,3.19576
1987-07-10,3.24574
1987-07-13,3.24574
1987-07-14,3.29602
1987-07-15,3.2678
1987-07-16,3.31768
1987-07-17,3.30337
1987-07-20,3.25965
1987-07-21,3.2678
1987-07-22,3.30337
1987-07-23,3.28191
1987-07-24,3.2678
1987-07-27,3.25965
1987-07-28,3.2531
1987-07-29,3.32464
1987-07-30,3.36796
1987-07-31,3.32464
1987-08-03,3.29602
1987-08-04,3.29602
1987-08-05,3.36796
1987-08-06,3.41804
1987-08-07,3.44665
1987-08-10,3.48948
1987-08-11,3.58337
