Date,HD.US
1986-09-02,0.338363
1986-09-03,0.330811
1986-09-04,0.338363
1986-09-05,0.338363
1986-09-08,0.32305
1986-09-09,0.32305
1986-09-10,0.32305
1986-09-11,0.300075
1986-09-12,0.292135
1986-09-15,0.300075
1986-09-16,0.300075
1986-09-17,0.300075
1986-09-18,0.300075
1986-09-19,0.307578
1986-09-22,0.292135
1986-09-23,0.284692
1986-09-24,0.284692
1986-09-25,0.277011
1986-09-26,0.284692
1986-09-29,0.277011
1986-09-30,0.284692
1986-10-01,0.284692
1986-10-02,0.277011
1986-10-03,0.284692
1986-10-06,0.284692
1986-10-07,0.277011
1986-10-08,0.277011
1986-10-09,0.292135
1986-10-10,0.292135
1986-10-13,0.292135
1986-10-14,0.292135
1986-10-15,0.284692
1986-10-16,0.284692
1986-10-17,0.284692
1986-10-20,0.277011
1986-10-21,0.277011
1986-10-22,0.284692
1986-10-23,0.292135
1986-10-24,0.284692
1986-10-27,0.292135
1986-10-28,0.292135
1986-10-29,0.307578
1986-10-30,0.307578
1986-10-31,0.307578
1986-11-03,0.315448
1986-11-04,0.315448
1986-11-05,0.307578
1986-11-06,0.32305
1986-11-07,0.32305
1986-11-10,0.32305
1986-11-11,0.315448
1986-11-12,0.315448
1986-11-13,0.307578
1986-11-14,0.307578
1986-11-17,0.300075
1986-11-18,0.292135
1986-11-19,0.292135
1986-11-20,0.300075
1986-11-21,0.300075
1986-11-24,0.307578
1986-11-25,0.307578
1986-11-26,0.315448
1986-11-28,0.315448
1986-12-01,0.307578
1986-12-02,0.307578
1986-12-03,0.315448
1986-12-04,0.307578
1986-12-05,0.315448
1986-12-08,0.307578
1986-12-09,0.307578
1986-12-10,0.315448
1986-12-11,0.307578
1986-12-12,0.300075
1986-12-15,0.307578
1986-12-16,0.315448
1986-12-17,0.307578
1986-12-18,0.315448
1986-12-19,0.315448
1986-12-22,0.315448
1986-12-23,0.315448
1986-12-24,0.315448
1986-12-26,0.315448
1986-12-29,0.307578
1986-12-30,0.300075
1986-12-31,0.300075
1987-01-02,0.300075
1987-01-05,0.32305
1987-01-06,0.315448
1987-01-07,0.338363
1987-01-08,0.330811
1987-01-09,0.32305
1987-01-12,0.315448
1987-01-13,0.315448
1987-01-14,0.315448
1987-01-15,0.330811
1987-01-16,0.330811
1987-01-19,0.32305
1987-01-20,0.32305
1987-01-21,0.32305
1987-01-22,0.330811
1987-01-23,0.338363
1987-01-26,0.338363
1987-01-27,0.346194
1987-01-28,0.361477
1987-01-29,0.361477
1987-01-30,0.36901
1987-02-02,0.376949
1987-02-03,0.376949
1987-02-04,0.384651
1987-02-05,0.392273
1987-02-06,0.399964
1987-02-09,0.399964
1987-02-10,0.392273
1987-02-11,0.384651
1987-02-12,0.392273
1987-02-13,0.399964
1987-02-17,0.415297
1987-02-18,0.407725
1987-02-19,0.407725
1987-02-20,0.407725
1987-02-23,0.399964
1987-02-24,0.399964
1987-02-25,0.384651
1987-02-26,0.384651
1987-02-27,0.399964
1987-03-02,0.415297
1987-03-03,0.415297
1987-03-04,0.415297
1987-03-05,0.422979
1987-03-06,0.422979
1987-03-09,0.407725
1987-03-10,0.430799
1987-03-11,0.438421
1987-03-12,0.438421
1987-03-13,0.430799
1987-03-16,0.415297
1987-03-17,0.422979
1987-03-18,0.453844
1987-03-19,0.469376
1987-03-20,0.484649
1987-03-23,0.500042
1987-03-24,0.515345
1987-03-25,0.500042
1987-03-26,0.484649
1987-03-27,0.476918
1987-03-30,0.469376
1987-03-31,0.484649
1987-04-01,0.484649
1987-04-02,0.484649
1987-04-03,0.484649
1987-04-06,0.492341
1987-04-07,0.500042
1987-04-08,0.500042
1987-04-09,0.500042
1987-04-10,0.500042
1987-04-13,0.500042
1987-04-14,0.476918
1987-04-15,0.484649
1987-04-16,0.492341
1987-04-20,0.484649
1987-04-21,0.476918
1987-04-22,0.476918
1987-04-23,0.476918
1987-04-24,0.461565
1987-04-27,0.453844
1987-04-28,0.461565
1987-04-29,0.476918
1987-04-30,0.484649
1987-05-01,0.469376
1987-05-04,0.476918
1987-05-05,0.484649
1987-05-06,0.492341
1987-05-07,0.492341
1987-05-08,0.500042
1987-05-11,0.530847
1987-05-12,0.507495
1987-05-13,0.523096
1987-05-14,0.523096
1987-05-15,0.507495
1987-05-18,0.507495
1987-05-19,0.515345
1987-05-20,0.507495
1987-05-21,0.515345
1987-05-22,0.515345
1987-05-26,0.523096
1987-05-27,0.561554
1987-05-28,0.553902
1987-05-29,0.561554
1987-06-01,0.576857
1987-06-02,0.569205
1987-06-03,0.576857
1987-06-04,0.59216
1987-06-05,0.584707
1987-06-08,0.59216
1987-06-09,0.600011
1987-06-10,0.59216
1987-06-11,0.59216
1987-06-12,0.59216
1987-06-15,0.607563
1987-06-16,0.615314
1987-06-17,0.615314
1987-06-18,0.615314
1987-06-19,0.607563
1987-06-22,0.59216
1987-06-23,0.584707
1987-06-24,0.576857
1987-06-25,0.576857
1987-06-26,0.569205
1987-06-29,0.569205
1987-06-30,0.569205
1987-07-01,0.553902
1987-07-02,0.569205
1987-07-06,0.569205
1987-07-07,0.569205
1987-07-08,0.553902
1987-07-09,0.553902
1987-07-10,0.553902
1987-07-13,0.553902
1987-07-14,0.569205
1987-07-15,0.561554
1987-07-16,0.576857
1987-07-17,0.584707
1987-07-20,0.584707
1987-07-21,0.576857
1987-07-22,0.569205
1987-07-23,0.569205
1987-07-24,0.576857
1987-07-27,0.576857
1987-07-28,0.584707
1987-07-29,0.630717
1987-07-30,0.622966
1987-07-31,0.630717
1987-08-03,0.630717
1987-08-04,0.638368
1987-08-05,0.638368
1987-08-06,0.653672
1987-08-07,0.669075
1987-08-10,0.669075
1987-08-11,0.69203
1987-08-12,0.669075
1987-08-13,0.676826
1987-08-14,0.676826
1987-08-17,0.669075
1987-08-18,0.669075
1987-08-19,0.669075
1987-08-20,0.69203
1987-08-21,0.69203
1987-08-24,0.69203
1987-08-25,0.69203
1987-08-26,0.69203
1987-08-27,0.661622
1987-08-28,0.661622
1987-08-31,0.653672
1987-09-01,0.653672
1987-09-02,0.646318
1987-09-03,0.653672
1987-09-04,0.653672
1987-09-08,0.638368
1987-09-09,0.638368
1987-09-10,0.638368
1987-09-11,0.661622
1987-09-14,0.661622
1987-09-15,0.646318
1987-09-16,0.630717
1987-09-17,0.638368
1987-09-18,0.638368
1987-09-21,0.600011
1987-09-22,0.607563
1987-09-23,0.630717
1987-09-24,0.630717
1987-09-25,0.630717
1987-09-28,0.600011
1987-09-29,0.569205
1987-09-30,0.569205
1987-10-01,0.59216
1987-10-02,0.615314
1987-10-05,0.653672
1987-10-06,0.622966
1987-10-07,0.600011
1987-10-08,0.569205
1987-10-09,0.553902
1987-10-12,0.54625
1987-10-13,0.553902
1987-10-14,0.54625
1987-10-15,0.530847
1987-10-16,0.500042
1987-10-19,0.392273
1987-10-20,0.392273
1987-10-21,0.422979
1987-10-22,0.399964
1987-10-23,0.376949
1987-10-26,0.32305
1987-10-27,0.353895
1987-10-28,0.353895
1987-10-29,0.392273
1987-10-30,0.407725
1987-11-02,0.430799
1987-11-03,0.422979
1987-11-04,0.399964
1987-11-05,0.399964
1987-11-06,0.430799
1987-11-09,0.415297
1987-11-10,0.415297
1987-11-11,0.422979
1987-11-12,0.430799
1987-11-13,0.438421
1987-11-16,0.446192
1987-11-17,0.446192
1987-11-18,0.438421
1987-11-19,0.453844
1987-11-20,0.438421
1987-11-23,0.446192
1987-11-24,0.461565
1987-11-25,0.453844
1987-11-27,0.446192
1987-11-30,0.415297
1987-12-01,0.422979
1987-12-02,0.430799
1987-12-03,0.407725
1987-12-04,0.399964
1987-12-07,0.392273
1987-12-08,0.415297
1987-12-09,0.446192
1987-12-10,0.453844
1987-12-11,0.446192
1987-12-14,0.453844
1987-12-15,0.461565
1987-12-16,0.461565
1987-12-17,0.461565
1987-12-18,0.492341
1987-12-21,0.500042
1987-12-22,0.492341
1987-12-23,0.492341
1987-12-24,0.492341
1987-12-28,0.476918
1987-12-29,0.461565
1987-12-30,0.476918
1987-12-31,0.469376
1988-01-04,0.500042
1988-01-05,0.492341
1988-01-06,0.500042
1988-01-07,0.492341
1988-01-08,0.476918
1988-01-11,0.469376
1988-01-12,0.461565
1988-01-13,0.461565
1988-01-14,0.461565
1988-01-15,0.453844
1988-01-18,0.446192
1988-01-19,0.446192
1988-01-20,0.438421
1988-01-21,0.461565
1988-01-22,0.461565
1988-01-25,0.469376
1988-01-26,0.461565
1988-01-27,0.453844
1988-01-28,0.461565
1988-01-29,0.476918
1988-02-01,0.492341
1988-02-02,0.484649
1988-02-03,0.492341
1988-02-04,0.500042
1988-02-05,0.507495
1988-02-08,0.500042
1988-02-09,0.507495
