Date,PA.F
1986-11-24,116.3
1986-11-25,116.55
1986-11-26,113.7
1986-11-28,
1986-12-01,117.65
1986-12-02,115.5
1986-12-03,115.75
1986-12-04,115.95
1986-12-05,116.4
1986-12-08,116.0
1986-12-09,116.0
1986-12-10,116.45
1986-12-11,116.5
1986-12-12,115.95
1986-12-15,117.45
1986-12-16,116.6
1986-12-17,117.5
1986-12-18,118.1
1986-12-19,116.8
1986-12-22,117.0
1986-12-23,115.65
1986-12-24,117.35
1986-12-26,
1986-12-29,115.7
1986-12-30,116.25
1986-12-31,118.3
1987-01-02,118.35
1987-01-05,118.3
1987-01-06,118.8
1987-01-07,119.9
1987-01-08,121.95
1987-01-09,125.25
1987-01-12,125.7
1987-01-13,124.6
1987-01-14,127.3
1987-01-15,124.15
1987-01-16,123.7
1987-01-19,127.65
1987-01-20,123.5
1987-01-21,124.1
1987-01-22,124.5
1987-01-23,121.05
1987-01-26,123.0
1987-01-27,125.15
1987-01-28,124.5
1987-01-29,125.15
1987-01-30,123.55
1987-02-02,124.7
1987-02-03,123.75
1987-02-04,123.5
1987-02-05,123.8
1987-02-06,123.5
1987-02-09,124.45
1987-02-10,123.5
1987-02-11,122.2
1987-02-12,118.35
1987-02-13,119.15
1987-02-17,119.0
1987-02-18,117.75
1987-02-19,118.25
1987-02-20,118.55
1987-02-23,118.15
1987-02-24,118.6
1987-02-25,119.0
1987-02-26,117.2
1987-02-27,116.9
1987-03-02,117.5
1987-03-03,118.75
1987-03-04,119.2
1987-03-05,120.9
1987-03-06,123.15
1987-03-09,123.25
1987-03-10,122.75
1987-03-11,122.85
1987-03-12,123.7
1987-03-13,122.35
1987-03-16,123.2
1987-03-17,123.75
1987-03-18,124.3
1987-03-19,124.35
1987-03-20,125.4
1987-03-23,128.3
1987-03-24,126.95
1987-03-25,127.25
1987-03-26,126.2
1987-03-27,129.95
1987-03-30,129.55
1987-03-31,128.9
1987-04-01,128.5
1987-04-02,128.55
1987-04-03,128.8
1987-04-06,130.3
1987-04-07,130.55
1987-04-08,129.8
1987-04-09,134.4
1987-04-10,134.8
1987-04-13,136.1
1987-04-14,141.9
1987-04-15,139.45
1987-04-16,137.3
1987-04-20,141.0
1987-04-21,140.85
1987-04-22,140.3
1987-04-23,145.45
1987-04-24,151.0
1987-04-27,142.7
1987-04-28,136.95
1987-04-29,139.5
1987-04-30,143.4
1987-05-01,145.4
1987-05-04,151.3
1987-05-05,149.5
1987-05-06,148.2
1987-05-07,148.05
1987-05-08,146.35
1987-05-11,146.9
1987-05-12,148.65
1987-05-13,146.95
1987-05-14,148.0
1987-05-15,151.15
1987-05-18,148.0
1987-05-19,149.95
1987-05-20,146.7
1987-05-21,146.1
1987-05-22,140.85
1987-05-26,135.35
1987-05-27,132.55
1987-05-28,137.1
1987-05-29,136.65
1987-06-01,136.75
1987-06-02,142.75
1987-06-03,136.9
1987-06-04,138.65
1987-06-05,137.0
1987-06-08,136.85
1987-06-09,138.5
1987-06-10,140.0
1987-06-11,141.7
1987-06-12,138.85
1987-06-15,138.2
1987-06-16,136.85
1987-06-17,137.0
1987-06-18,137.0
1987-06-19,135.25
1987-06-22,133.05
1987-06-23,133.9
1987-06-24,134.65
1987-06-25,133.7
1987-06-26,135.1
1987-06-29,135.4
1987-06-30,135.6
1987-07-01,141.0
1987-07-02,141.9
1987-07-06,141.4
1987-07-07,138.7
1987-07-08,138.25
1987-07-09,139.8
1987-07-10,138.05
1987-07-13,137.6
1987-07-14,138.25
1987-07-15,140.0
1987-07-16,139.85
1987-07-17,138.0
1987-07-20,138.95
1987-07-21,139.9
1987-07-22,140.85
1987-07-23,139.75
1987-07-24,140.7
1987-07-27,141.85
1987-07-28,145.55
1987-07-29,144.0
1987-07-30,145.5
1987-07-31,145.6
1987-08-03,147.9
1987-08-04,147.85
1987-08-05,144.6
1987-08-06,143.85
1987-08-07,138.5
1987-08-10,141.6
1987-08-11,142.5
1987-08-12,142.65
1987-08-13,140.1
1987-08-14,136.55
1987-08-17,137.5
1987-08-18,139.65
1987-08-19,138.7
1987-08-20,137.7
1987-08-21,138.25
1987-08-24,139.5
1987-08-25,138.4
1987-08-26,138.35
1987-08-27,138.35
1987-08-28,136.75
1987-08-31,135.55
1987-09-01,136.25
1987-09-02,138.2
1987-09-03,138.2
1987-09-04,137.4
1987-09-08,136.8
1987-09-09,136.3
1987-09-10,137.5
1987-09-11,136.4
1987-09-14,137.15
1987-09-15,136.65
1987-09-16,136.85
1987-09-17,137.2
1987-09-18,136.6
1987-09-21,136.8
1987-09-22,137.15
1987-09-23,136.45
1987-09-24,137.8
1987-09-25,135.95
1987-09-28,135.8
1987-09-29,135.5
1987-09-30,133.2
1987-10-01,132.6
1987-10-02,133.0
1987-10-05,134.0
1987-10-06,134.2
1987-10-07,134.1
1987-10-08,134.95
1987-10-09,135.3
1987-10-12,135.2
1987-10-13,133.65
1987-10-14,133.8
1987-10-15,135.0
1987-10-16,136.3
1987-10-19,141.75
1987-10-20,135.75
1987-10-21,130.35
1987-10-22,124.85
1987-10-23,127.8
1987-10-26,124.0
1987-10-27,121.9
1987-10-28,119.55
1987-10-29,114.25
1987-10-30,116.7
1987-11-02,115.8
1987-11-03,113.95
1987-11-04,109.65
1987-11-05,103.65
1987-11-06,106.8
1987-11-09,109.4
1987-11-10,106.9
1987-11-11,106.85
1987-11-12,109.85
1987-11-13,111.5
1987-11-16,111.45
1987-11-17,111.55
1987-11-18,108.1
1987-11-19,111.8
1987-11-20,112.05
1987-11-23,114.75
1987-11-24,116.25
1987-11-25,120.5
1987-11-27,
1987-11-30,124.75
1987-12-01,123.05
1987-12-02,124.95
1987-12-03,119.25
1987-12-04,113.25
1987-12-07,113.15
1987-12-08,116.25
1987-12-09,116.55
1987-12-10,119.85
1987-12-11,120.7
1987-12-14,121.1
1987-12-15,117.25
1987-12-16,118.4
1987-12-17,118.7
1987-12-18,118.5
1987-12-21,118.5
1987-12-22,119.25
1987-12-23,121.0
1987-12-24,122.95
1987-12-28,128.05
1987-12-29,127.05
1987-12-30,123.7
1987-12-31,123.6
1988-01-04,121.1
1988-01-05,125.3
1988-01-06,127.95
1988-01-07,128.05
1988-01-08,128.4
1988-01-11,127.4
1988-01-12,127.3
1988-01-13,127.55
1988-01-14,128.25
1988-01-15,124.55
1988-01-18,122.85
1988-01-19,123.5
1988-01-20,123.9
1988-01-21,125.1
1988-01-22,125.3
1988-01-25,122.1
1988-01-26,122.6
1988-01-27,122.55
1988-01-28,117.75
1988-01-29,114.1
1988-02-01,115.9
1988-02-02,119.35
1988-02-03,116.3
1988-02-04,119.5
1988-02-05,118.75
1988-02-08,119.45
1988-02-09,121.8
1988-02-10,122.2
1988-02-11,121.15
1988-02-12,121.0
1988-02-16,121.0
1988-02-17,121.2
1988-02-18,120.2
1988-02-19,120.25
1988-02-22,123.75
1988-02-23,117.75
1988-02-24,116.05
1988-02-25,117.1
1988-02-26,118.05
1988-02-29,118.25
1988-03-01,117.75
1988-03-02,118.4
1988-03-03,117.9
1988-03-04,120.15
1988-03-07,121.0
1988-03-08,120.8
1988-03-09,121.4
1988-03-10,122.4
1988-03-11,121.75
1988-03-14,122.5
1988-03-15,122.75
1988-03-16,122.45
1988-03-17,121.05
1988-03-18,121.6
1988-03-21,125.05
1988-03-22,125.0
1988-03-23,124.0
1988-03-24,124.25
1988-03-25,123.6
1988-03-28,123.75
1988-03-29,124.3
1988-03-30,125.05
1988-03-31,124.45
1988-04-04,126.1
1988-04-05,125.3
1988-04-06,122.25
1988-04-07,120.1
1988-04-08,121.05
1988-04-11,120.7
1988-04-12,121.35
1988-04-13,119.55
1988-04-14,121.5
1988-04-15,122.55
1988-04-18,123.95
1988-04-19,123.55
1988-04-20,121.0
1988-04-21,120.4
1988-04-22,119.7
1988-04-25,120.0
1988-04-26,120.4
1988-04-27,122.25
1988-04-28,121.8
1988-04-29,122.2
1988-05-02,120.75
1988-05-03,120.2
1988-05-04,120.0
1988-05-05,120.9
1988-05-06,120.5
1988-05-09,122.25
1988-05-10,122.7
1988-05-11,121.6
1988-05-12,121.8
1988-05-13,121.75
1988-05-16,123.85
1988-05-17,122.75
1988-05-18,123.7
1988-05-19,124.0
1988-05-20,125.5
1988-05-23,124.8
1988-05-24,125.3
1988-05-25,123.5
1988-05-26,123.5
1988-05-27,123.25
1988-05-31,126.0
1988-06-01,127.25
1988-06-02,130.05
1988-06-03,132.2
1988-06-06,132.4
1988-06-07,131.25
1988-06-08,128.5
1988-06-09,128.75
1988-06-10,125.6
1988-06-13,127.5
1988-06-14,127.8
1988-06-15,129.9
1988-06-16,128.9
1988-06-17,128.25
1988-06-20,129.8
1988-06-21,130.05
1988-06-22,125.85
1988-06-23,126.65
1988-06-24,124.95
1988-06-27,125.05
1988-06-28,125.35
1988-06-29,123.2
1988-06-30,123.6
1988-07-01,124.9
1988-07-05,123.85
1988-07-06,124.5
1988-07-07,126.5
1988-07-08,125.65
1988-07-11,120.15
1988-07-12,121.9
1988-07-13,123.1
1988-07-14,126.85
1988-07-15,126.0
1988-07-18,123.0
1988-07-19,126.85
1988-07-20,128.7
1988-07-21,130.05
1988-07-22,128.75
1988-07-25,122.75
1988-07-26,122.95
1988-07-27,125.05
1988-07-28,121.55
1988-07-29,123.0
1988-08-01,123.25
1988-08-02,121.9
1988-08-03,121.7
1988-08-04,122.4
1988-08-05,123.55
1988-08-08,121.9
1988-08-09,122.55
1988-08-10,123.65
1988-08-11,123.75
1988-08-12,122.4
1988-08-15,123.5
1988-08-16,121.75
1988-08-17,120.4
1988-08-18,122.55
1988-08-19,122.1
1988-08-22,122.8
1988-08-23,122.65
1988-08-24,123.05
1988-08-25,123.3
1988-08-26,123.0
1988-08-29,120.6
1988-08-30,121.2
1988-08-31,120.8
1988-09-01,120.9
1988-09-02,120.1
1988-09-06,120.5
1988-09-07,122.4
1988-09-08,122.2
1988-09-09,122.0
1988-09-12,121.15
1988-09-13,121.25
1988-09-14,121.0
1988-09-15,120.4
1988-09-16,118.65
1988-09-19,119.0
1988-09-20,118.75
1988-09-21,117.75
1988-09-22,118.6
1988-09-23,117.75
1988-09-26,117.4
1988-09-27,117.4
1988-09-28,117.5
1988-09-29,118.4
1988-09-30,118.85
1988-10-03,118.5
1988-10-04,118.95
1988-10-05,119.35
1988-10-06,119.65
1988-10-07,120.35
1988-10-10,121.0
1988-10-11,120.1
1988-10-12,122.5
1988-10-13,122.9
1988-10-14,123.1
1988-10-17,122.8
1988-10-18,123.0
1988-10-19,123.0
1988-10-20,122.75
1988-10-21,123.05
1988-10-24,121.7
1988-10-25,121.65
1988-10-26,122.05
1988-10-27,121.3
1988-10-28,122.1
1988-10-31,123.0
1988-11-01,123.9
1988-11-02,126.1
1988-11-03,125.15
1988-11-04,125.05
1988-11-07,125.65
1988-11-08,125.45
1988-11-09,125.55
1988-11-10,125.45
1988-11-11,126.05
1988-11-14,125.55
1988-11-15,127.3
1988-11-16,127.4
1988-11-17,126.4
1988-11-18,125.1
1988-11-21,123.75
1988-11-22,124.0
1988-11-23,124.85
1988-11-25,
1988-11-28,126.3
1988-11-29,125.95
1988-11-30,126.7
1988-12-01,126.5
1988-12-02,127.5
1988-12-05,127.5
1988-12-06,126.1
1988-12-07,125.8
1988-12-08,126.45
1988-12-09,126.0
1988-12-12,126.85
1988-12-13,127.45
1988-12-14,129.55
1988-12-15,130.25
1988-12-16,136.25
1988-12-19,134.1
1988-12-20,134.4
1988-12-21,136.3
1988-12-22,137.0
1988-12-23,134.4
1988-12-27,138.75
1988-12-28,136.85
1988-12-29,131.4
1988-12-30,129.0
1989-01-03,132.05
1989-01-04,131.5
1989-01-05,131.5
1989-01-06,132.15
1989-01-09,132.05
1989-01-10,130.0
1989-01-11,131.95
1989-01-12,132.25
1989-01-13,131.1
1989-01-16,131.45
1989-01-17,132.15
1989-01-18,136.4
1989-01-19,140.35
1989-01-20,141.75
1989-01-23,143.75
1989-01-24,139.25
1989-01-25,140.15
1989-01-26,142.2
1989-01-27,136.2
1989-01-30,137.25
1989-01-31,138.45
1989-02-01,142.75
1989-02-02,141.8
1989-02-03,142.6
1989-02-06,145.05
1989-02-07,144.05
1989-02-08,144.85
1989-02-09,144.4
1989-02-10,144.75
1989-02-13,143.9
1989-02-14,144.5
1989-02-15,144.65
1989-02-16,141.15
1989-02-17,143.1
1989-02-21,144.7
1989-02-22,146.45
1989-02-23,145.9
1989-02-24,144.8
1989-02-27,143.65
1989-02-28,144.05
1989-03-01,143.75
1989-03-02,143.6
1989-03-03,145.1
1989-03-06,145.4
1989-03-07,146.85
1989-03-08,146.55
1989-03-09,145.5
1989-03-10,145.25
1989-03-13,145.1
1989-03-14,145.3
1989-03-15,144.45
1989-03-16,144.8
1989-03-17,145.7
1989-03-20,145.75
1989-03-21,145.25
1989-03-22,144.45
1989-03-23,145.85
1989-03-27,150.85
1989-03-28,149.65
1989-03-29,155.65
1989-03-30,160.25
1989-03-31,165.15
1989-04-03,161.65
1989-04-04,161.7
1989-04-05,166.85
1989-04-06,169.45
1989-04-07,163.45
1989-04-10,164.6
1989-04-11,168.5
1989-04-12,173.65
1989-04-13,179.65
1989-04-14,180.65
1989-04-17,174.65
1989-04-18,165.65
1989-04-19,167.05
1989-04-20,174.85
1989-04-21,171.65
1989-04-24,171.85
1989-04-25,170.15
1989-04-26,170.35
1989-04-27,167.55
1989-04-28,161.55
1989-05-01,154.65
1989-05-02,155.3
1989-05-03,154.05
1989-05-04,155.55
1989-05-05,157.65
1989-05-08,162.0
1989-05-09,159.45
1989-05-10,159.75
1989-05-11,161.0
1989-05-12,157.6
1989-05-15,154.0
1989-05-16,155.45
1989-05-17,153.55
1989-05-18,155.35
1989-05-19,154.5
1989-05-22,148.5
1989-05-23,149.45
1989-05-24,145.8
1989-05-25,149.25
1989-05-26,152.65
1989-05-30,150.25
1989-05-31,147.15
1989-06-01,150.2
1989-06-02,156.2
1989-06-05,156.55
1989-06-06,158.6
1989-06-07,159.5
1989-06-08,156.55
1989-06-09,151.8
1989-06-12,152.55
1989-06-13,153.5
1989-06-14,152.5
1989-06-15,155.15
1989-06-16,155.0
1989-06-19,156.15
1989-06-20,154.4
1989-06-21,156.1
1989-06-22,154.1
1989-06-23,157.05
1989-06-26,157.25
1989-06-27,157.45
1989-06-28,155.9
1989-06-29,156.15
1989-06-30,157.1
1989-07-03,
1989-07-05,157.55
1989-07-06,156.9
1989-07-07,156.7
1989-07-10,155.0
1989-07-11,152.75
1989-07-12,152.15
1989-07-13,153.6
1989-07-14,152.8
1989-07-17,150.25
1989-07-18,150.5
1989-07-19,148.6
1989-07-20,149.35
1989-07-21,149.5
1989-07-24,150.1
1989-07-25,149.6
1989-07-26,149.45
1989-07-27,149.65
1989-07-28,144.65
1989-07-31,143.35
1989-08-01,139.45
1989-08-02,134.3
1989-08-03,134.9
1989-08-04,134.5
1989-08-07,133.65
1989-08-08,135.65
1989-08-09,136.45
1989-08-10,137.25
1989-08-11,136.3
1989-08-14,136.0
1989-08-15,137.2
1989-08-16,136.15
1989-08-17,136.8
1989-08-18,134.5
1989-08-21,135.8
1989-08-22,135.75
1989-08-23,136.1
1989-08-24,135.85
1989-08-25,135.05
1989-08-28,135.3
1989-08-29,136.7
1989-08-30,135.6
1989-08-31,134.1
1989-09-01,134.55
1989-09-05,134.65
1989-09-06,135.75
1989-09-07,136.0
1989-09-08,136.7
1989-09-11,136.45
1989-09-12,136.25
1989-09-13,139.1
1989-09-14,142.65
1989-09-15,142.0
1989-09-18,142.3
1989-09-19,143.6
1989-09-20,145.1
1989-09-21,142.7
1989-09-22,144.7
1989-09-25,144.1
1989-09-26,142.85
1989-09-27,141.5
1989-09-28,141.7
1989-09-29,143.05
1989-10-02,142.55
1989-10-03,142.8
1989-10-04,143.1
1989-10-05,141.95
1989-10-06,138.2
1989-10-09,137.95
1989-10-10,137.25
1989-10-11,137.55
1989-10-12,138.35
1989-10-13,139.6
1989-10-16,137.25
1989-10-17,138.25
1989-10-18,139.6
1989-10-19,139.75
1989-10-20,138.75
1989-10-23,137.2
1989-10-24,137.5
1989-10-25,136.6
1989-10-26,136.5
1989-10-27,139.75
1989-10-30,138.05
1989-10-31,136.4
1989-11-01,136.65
1989-11-02,137.7
1989-11-03,137.65
1989-11-06,137.55
1989-11-07,138.0
1989-11-08,138.95
1989-11-09,139.95
1989-11-10,139.15
1989-11-13,140.05
1989-11-14,142.35
1989-11-15,142.55
1989-11-16,141.7
1989-11-17,145.1
1989-11-20,145.9
1989-11-21,144.9
1989-11-22,144.8
1989-11-24,145.0
1989-11-27,143.0
1989-11-28,142.5
1989-11-29,139.35
1989-11-30,140.15
1989-12-01,145.05
1989-12-04,141.6
1989-12-05,142.7
1989-12-06,141.25
1989-12-07,142.45
1989-12-08,142.75
1989-12-11,142.1
1989-12-12,140.9
1989-12-13,138.7
1989-12-14,139.6
1989-12-15,140.5
1989-12-18,138.3
1989-12-19,138.45
1989-12-20,138.15
1989-12-21,137.7
1989-12-22,137.5
1989-12-26,137.8
1989-12-27,135.6
1989-12-28,135.05
1989-12-29,135.5
1990-01-02,135.7
1990-01-03,134.75
1990-01-04,136.25
1990-01-05,136.9
1990-01-08,136.8
1990-01-09,136.95
1990-01-10,137.7
1990-01-11,137.25
1990-01-12,138.3
1990-01-15,139.1
1990-01-16,137.2
1990-01-17,136.3
1990-01-18,135.75
1990-01-19,135.9
1990-01-22,135.25
1990-01-23,136.35
1990-01-24,136.15
1990-01-25,136.55
1990-01-26,137.65
1990-01-29,137.8
1990-01-30,137.7
1990-01-31,136.8
1990-02-01,136.95
1990-02-02,136.05
1990-02-05,137.0
1990-02-06,136.85
1990-02-07,136.35
1990-02-08,137.0
1990-02-09,136.25
1990-02-12,136.65
1990-02-13,137.3
1990-02-14,136.75
1990-02-15,135.1
1990-02-16,136.45
1990-02-20,137.5
1990-02-21,136.75
1990-02-22,136.35
1990-02-23,135.35
1990-02-26,129.35
1990-02-27,128.25
1990-02-28,129.0
1990-03-01,128.5
1990-03-02,131.85
1990-03-05,132.35
1990-03-06,132.35
1990-03-07,132.4
1990-03-08,132.25
1990-03-09,131.9
1990-03-12,132.05
1990-03-13,132.25
1990-03-14,131.9
1990-03-15,131.85
1990-03-16,132.25
1990-03-19,131.9
1990-03-20,131.2
1990-03-21,132.0
1990-03-22,132.6
1990-03-23,132.5
1990-03-26,129.1
1990-03-27,128.9
1990-03-28,129.0
1990-03-29,129.7
1990-03-30,129.75
1990-04-02,129.3
1990-04-03,129.95
1990-04-04,129.45
1990-04-05,129.05
1990-04-06,129.55
1990-04-09,129.35
1990-04-10,129.65
1990-04-11,129.85
1990-04-12,129.95
1990-04-16,129.75
1990-04-17,129.1
1990-04-18,128.8
1990-04-19,129.0
1990-04-20,127.7
1990-04-23,127.8
1990-04-24,126.0
1990-04-25,123.35
1990-04-26,122.75
1990-04-27,121.05
1990-04-30,117.35
1990-05-01,119.95
1990-05-02,119.85
1990-05-03,119.0
1990-05-04,120.4
1990-05-07,119.4
1990-05-08,117.7
1990-05-09,118.25
1990-05-10,118.5
1990-05-11,118.85
1990-05-14,119.4
1990-05-15,119.3
1990-05-16,120.0
1990-05-17,119.25
1990-05-18,123.5
1990-05-21,121.4
1990-05-22,122.4
1990-05-23,121.55
1990-05-24,122.75
1990-05-25,123.2
1990-05-29,122.0
1990-05-30,120.65
1990-05-31,119.4
1990-06-01,119.15
1990-06-04,118.7
1990-06-05,119.15
1990-06-06,119.45
1990-06-07,118.2
1990-06-08,118.65
1990-06-11,118.35
1990-06-12,118.25
1990-06-13,116.7
1990-06-14,113.55
1990-06-15,114.85
1990-06-18,115.0
1990-06-19,115.3
1990-06-20,114.5
1990-06-21,114.5
1990-06-22,114.05
1990-06-25,114.7
1990-06-26,113.15
1990-06-27,113.75
1990-06-28,114.2
1990-06-29,117.65
1990-07-02,116.65
1990-07-03,117.9
1990-07-05,119.0
1990-07-06,118.6
1990-07-09,117.1
1990-07-10,116.8
1990-07-11,116.95
1990-07-12,116.75
1990-07-13,117.2
1990-07-16,117.15
1990-07-17,116.75
1990-07-18,117.95
1990-07-19,117.5
1990-07-20,117.85
1990-07-23,119.1
1990-07-24,117.5
1990-07-25,117.5
1990-07-26,116.7
1990-07-27,116.1
1990-07-30,115.25
1990-07-31,115.25
1990-08-01,115.0
1990-08-02,114.75
1990-08-03,113.25
1990-08-06,113.5
1990-08-07,114.0
1990-08-08,114.3
1990-08-09,116.35
1990-08-10,117.2
1990-08-13,
1990-08-14,118.4
1990-08-15,117.5
1990-08-16,117.95
1990-08-17,118.95
1990-08-20,118.05
1990-08-21,118.5
1990-08-22,117.75
1990-08-23,117.6
1990-08-24,116.25
1990-08-27,112.5
1990-08-28,111.9
1990-08-29,112.1
1990-08-30,111.7
1990-08-31,110.7
1990-09-04,111.45
1990-09-05,110.95
1990-09-06,109.0
1990-09-07,107.85
1990-09-10,104.85
1990-09-11,105.5
1990-09-12,104.9
1990-09-13,105.7
1990-09-14,105.4
1990-09-17,105.95
1990-09-18,106.0
1990-09-19,105.05
1990-09-20,103.5
1990-09-21,101.35
1990-09-24,102.0
1990-09-25,102.65
1990-09-26,99.75
1990-09-27,97.3
1990-09-28,96.45
1990-10-01,96.25
1990-10-02,99.5
1990-10-03,99.85
1990-10-04,98.8
1990-10-05,101.55
1990-10-08,100.0
1990-10-09,100.1
1990-10-10,98.75
