Date,^DJI
1986-10-20,1811.0
1986-10-21,1805.7
1986-10-22,1808.4
1986-10-23,1834.9
1986-10-24,1832.4
1986-10-27,1841.8
1986-10-28,1845.5
1986-10-29,1851.8
1986-10-30,1878.4
1986-10-31,1877.7
1986-11-03,1894.3
1986-11-04,1892.4
1986-11-05,1899.0
1986-11-06,1891.6
1986-11-07,1886.5
1986-11-10,1892.3
1986-11-11,1896.0
1986-11-12,1893.7
1986-11-13,1862.2
1986-11-14,1873.6
1986-11-17,1860.5
1986-11-18,1817.2
1986-11-19,1826.6
1986-11-20,1860.7
1986-11-21,1893.6
1986-11-24,1906.1
1986-11-25,1912.1
1986-11-26,1916.8
1986-11-28,1914.2
1986-12-01,1912.5
1986-12-02,1955.6
1986-12-03,1947.3
1986-12-04,1939.7
1986-12-05,1925.1
1986-12-08,1930.3
1986-12-09,1916.9
1986-12-10,1932.9
1986-12-11,1923.7
1986-12-12,1912.3
1986-12-15,1922.8
1986-12-16,1936.2
1986-12-17,1918.3
1986-12-18,1912.8
1986-12-19,1928.9
1986-12-22,1926.2
1986-12-23,1914.4
1986-12-24,1926.9
1986-12-26,1930.4
1986-12-29,1912.1
1986-12-30,1908.6
1986-12-31,1896.0
1987-01-02,1927.3
1987-01-05,1971.3
1987-01-06,1974.8
1987-01-07,1994.0
1987-01-08,2002.3
1987-01-09,2005.9
1987-01-12,2009.4
1987-01-13,2012.9
1987-01-14,2035.0
1987-01-15,2070.7
1987-01-16,2076.6
1987-01-19,2102.5
1987-01-20,2104.5
1987-01-21,2094.1
1987-01-22,2145.7
1987-01-23,2101.5
1987-01-26,2107.3
1987-01-27,2150.5
1987-01-28,2163.4
1987-01-29,2160.0
1987-01-30,2158.0
1987-02-02,2179.4
1987-02-03,2168.5
1987-02-04,2191.2
1987-02-05,2201.5
1987-02-06,2186.9
1987-02-09,2176.7
1987-02-10,2158.0
1987-02-11,2172.0
1987-02-12,2165.8
1987-02-13,2183.4
1987-02-17,2237.5
1987-02-18,2237.6
1987-02-19,2244.1
1987-02-20,2235.2
1987-02-23,2216.5
1987-02-24,2223.3
1987-02-25,2226.2
1987-02-26,2216.7
1987-02-27,2224.0
1987-03-02,2220.5
1987-03-03,2226.5
1987-03-04,2257.5
1987-03-05,2276.4
1987-03-06,2280.2
1987-03-09,2260.1
1987-03-10,2280.1
1987-03-11,2269.0
1987-03-12,2267.3
1987-03-13,2258.7
1987-03-16,2248.4
1987-03-17,2284.8
1987-03-18,2286.9
1987-03-19,2299.6
1987-03-20,2333.5
1987-03-23,2363.8
1987-03-24,2369.2
1987-03-25,2363.5
1987-03-26,2372.6
1987-03-27,2335.8
1987-03-30,2278.4
1987-03-31,2304.7
1987-04-01,2316.1
1987-04-02,2320.5
1987-04-03,2390.3
1987-04-06,2405.5
1987-04-07,2360.9
1987-04-08,2372.2
1987-04-09,2339.2
1987-04-10,2338.8
1987-04-13,2287.1
1987-04-14,2253.0
1987-04-15,2283.0
1987-04-16,2276.0
1987-04-20,2270.6
1987-04-21,2337.1
1987-04-22,2285.9
1987-04-23,2281.0
1987-04-24,2235.4
1987-04-27,2230.5
1987-04-28,2232.0
1987-04-29,2254.3
1987-04-30,2286.4
1987-05-01,2280.4
1987-05-04,2286.2
1987-05-05,2338.1
1987-05-06,2342.2
1987-05-07,2334.7
1987-05-08,2322.3
1987-05-11,2307.3
1987-05-12,2322.6
1987-05-13,2329.7
1987-05-14,2325.5
1987-05-15,2272.5
1987-05-18,2258.7
1987-05-19,2221.3
1987-05-20,2215.9
1987-05-21,2225.8
1987-05-22,2243.2
1987-05-26,2297.9
1987-05-27,2295.8
1987-05-28,2310.7
1987-05-29,2291.6
1987-06-01,2288.2
1987-06-02,2278.2
1987-06-03,2320.7
1987-06-04,2337.1
1987-06-05,2326.2
1987-06-08,2351.6
1987-06-09,2352.7
1987-06-10,2353.6
1987-06-11,2360.1
1987-06-12,2377.7
1987-06-15,2391.5
1987-06-16,2407.4
1987-06-17,2407.4
1987-06-18,2408.1
1987-06-19,2420.9
1987-06-22,2445.5
1987-06-23,2439.7
1987-06-24,2428.4
1987-06-25,2451.1
1987-06-26,2436.9
1987-06-29,2446.9
1987-06-30,2418.5
1987-07-01,2409.8
1987-07-02,2436.7
1987-07-06,2429.5
1987-07-07,2449.8
