Date,JPM.US
1986-09-02,5.87027
1986-09-03,5.87027
1986-09-04,5.93579
1986-09-05,5.78334
1986-09-08,5.6301
1986-09-09,5.65964
1986-09-10,5.6301
1986-09-11,5.47755
1986-09-12,5.27405
1986-09-15,5.38308
1986-09-16,5.43413
1986-09-17,5.47755
1986-09-18,5.41193
1986-09-19,5.35414
1986-09-22,5.43413
1986-09-23,5.55754
1986-09-24,5.60155
1986-09-25,5.47755
1986-09-26,5.52136
1986-09-29,5.41193
1986-09-30,5.35414
1986-10-01,5.35414
1986-10-02,5.33947
1986-10-03,5.33947
1986-10-06,5.36881
1986-10-07,5.41193
1986-10-08,5.53583
1986-10-09,5.4485
1986-10-10,5.38308
1986-10-13,5.38308
1986-10-14,5.35414
1986-10-15,5.50649
1986-10-16,5.50649
1986-10-17,5.46308
1986-10-20,5.33947
1986-10-21,5.33947
1986-10-22,5.31033
1986-10-23,5.35414
1986-10-24,5.35414
1986-10-27,5.31033
1986-10-28,5.25948
1986-10-29,5.33947
1986-10-30,5.43413
1986-10-31,5.41193
1986-11-03,5.36881
1986-11-04,5.50649
1986-11-05,5.53583
1986-11-06,5.46308
1986-11-07,5.47755
1986-11-10,5.47755
1986-11-11,5.43413
1986-11-12,5.49172
1986-11-13,5.39765
1986-11-14,5.38308
1986-11-17,5.31033
1986-11-18,5.29536
1986-11-19,5.35414
1986-11-20,5.38308
1986-11-21,5.50649
1986-11-24,5.49172
1986-11-25,5.52136
1986-11-26,5.52136
1986-11-28,5.49172
1986-12-01,5.58718
1986-12-02,5.78334
1986-12-03,5.79781
1986-12-04,5.7538
1986-12-05,5.68125
1986-12-08,5.73943
1986-12-09,5.68125
1986-12-10,5.72516
1986-12-11,5.6301
1986-12-12,5.55754
1986-12-15,5.4485
1986-12-16,5.53583
1986-12-17,5.55754
1986-12-18,5.58718
1986-12-19,5.55754
1986-12-22,5.49172
1986-12-23,5.4485
1986-12-24,5.4268
1986-12-26,5.4485
1986-12-29,5.4268
1986-12-30,5.4485
1986-12-31,5.28872
1987-01-02,5.36881
1987-01-05,5.47755
1987-01-06,5.50649
1987-01-07,5.57231
1987-01-08,5.71039
1987-01-09,5.72516
1987-01-12,5.76144
1987-01-13,5.73943
1987-01-14,5.73943
1987-01-15,5.77591
1987-01-16,5.83419
1987-01-19,5.88504
1987-01-20,5.94333
1987-01-21,5.94333
1987-01-22,5.97971
1987-01-23,5.97971
1987-01-26,5.94333
1987-01-27,6.02342
1987-01-28,5.97971
1987-01-29,5.91419
1987-01-30,5.87027
1987-02-02,5.84906
1987-02-03,5.83419
1987-02-04,5.91419
1987-02-05,6.11769
1987-02-06,6.05197
1987-02-09,6.02342
1987-02-10,5.88504
1987-02-11,5.91419
1987-02-12,5.88504
1987-02-13,5.99408
1987-02-17,5.99408
1987-02-18,6.02342
1987-02-19,6.19778
1987-02-20,6.14663
1987-02-23,5.81942
1987-02-24,5.87027
1987-02-25,5.77591
1987-02-26,5.69582
1987-02-27,5.81942
1987-03-02,5.73943
1987-03-03,5.80475
1987-03-04,5.84906
1987-03-05,5.94333
1987-03-06,5.92856
1987-03-09,5.84133
1987-03-10,5.84133
1987-03-11,5.76144
1987-03-12,5.77591
1987-03-13,5.68125
1987-03-16,5.62326
1987-03-17,5.68125
1987-03-18,5.66687
1987-03-19,5.6523
1987-03-20,5.63753
1987-03-23,5.69582
1987-03-24,5.66687
1987-03-25,5.76144
1987-03-26,5.7319
1987-03-27,5.71792
1987-03-30,5.55754
1987-03-31,5.55754
1987-04-01,5.57231
1987-04-02,5.6523
1987-04-03,5.76144
1987-04-06,5.77591
1987-04-07,5.63753
1987-04-08,5.71792
1987-04-09,5.63753
1987-04-10,5.58718
1987-04-13,5.33213
1987-04-14,5.17185
1987-04-15,5.2228
1987-04-16,5.23747
1987-04-20,5.2228
1987-04-21,5.30319
1987-04-22,5.15738
1987-04-23,5.25194
1987-04-24,5.23747
1987-04-27,5.2228
1987-04-28,5.23747
1987-04-29,5.31746
1987-04-30,5.39765
1987-05-01,5.4268
1987-05-04,5.49172
1987-05-05,5.66687
1987-05-06,5.6523
1987-05-07,5.62326
1987-05-08,5.6523
1987-05-11,5.63753
1987-05-12,5.55754
1987-05-13,5.4268
1987-05-14,5.4485
1987-05-15,5.38308
1987-05-18,5.31746
1987-05-19,5.20843
1987-05-20,5.03377
1987-05-21,5.2228
1987-05-22,5.30319
1987-05-26,5.47755
1987-05-27,5.33213
1987-05-28,5.33213
1987-05-29,5.33213
1987-06-01,5.39765
1987-06-02,5.36881
1987-06-03,5.4485
1987-06-04,5.46308
1987-06-05,5.58718
1987-06-08,5.71792
1987-06-09,5.73943
1987-06-10,5.65964
1987-06-11,5.76857
1987-06-12,5.83419
1987-06-15,5.89951
1987-06-16,5.99408
1987-06-17,6.01579
1987-06-18,6.03036
1987-06-19,5.99408
1987-06-22,5.95027
1987-06-23,5.80475
1987-06-24,5.72516
1987-06-25,5.65964
1987-06-26,5.64497
1987-06-29,5.59342
1987-06-30,5.41936
1987-07-01,5.39765
1987-07-02,5.49965
1987-07-06,5.54297
1987-07-07,5.51393
1987-07-08,5.46308
1987-07-09,5.38308
1987-07-10,5.4485
1987-07-13,5.41936
1987-07-14,5.43413
1987-07-15,5.35414
1987-07-16,5.36881
1987-07-17,5.35414
