Date,MCD.US
1986-09-02,3.68163
1986-09-03,3.61685
1986-09-04,3.68163
1986-09-05,3.63109
1986-09-08,3.58787
1986-09-09,3.58787
1986-09-10,3.55939
1986-09-11,3.47294
1986-09-12,3.4587
1986-09-15,3.50914
1986-09-16,3.58787
1986-09-17,3.54485
1986-09-18,3.53791
1986-09-19,3.42269
1986-09-22,3.44406
1986-09-23,3.46592
1986-09-24,3.5669
1986-09-25,3.48738
1986-09-26,3.43704
1986-09-29,3.37265
1986-09-30,3.37265
1986-10-01,3.34347
1986-10-02,3.35791
1986-10-03,3.43704
1986-10-06,3.55227
1986-10-07,3.50162
1986-10-08,3.55939
1986-10-09,3.58787
1986-10-10,3.58787
1986-10-13,3.55939
1986-10-14,3.54485
1986-10-15,3.58787
1986-10-16,3.67412
1986-10-17,3.63109
1986-10-20,3.55939
1986-10-21,3.46592
1986-10-22,3.45158
1986-10-23,3.60972
1986-10-24,3.61685
1986-10-27,3.59538
1986-10-28,3.63109
1986-10-29,3.65958
1986-10-30,3.73187
1986-10-31,3.75343
1986-11-03,3.76065
1986-11-04,3.76768
1986-11-05,3.83998
1986-11-06,3.82544
1986-11-07,3.83998
1986-11-10,3.83998
1986-11-11,3.8108
1986-11-12,3.75343
1986-11-13,3.65958
1986-11-14,3.63109
1986-11-17,3.66739
1986-11-18,3.59538
1986-11-19,3.58085
1986-11-20,3.65324
1986-11-21,3.78924
1986-11-24,3.83226
1986-11-25,3.82544
1986-11-26,3.8108
1986-11-28,3.7752
1986-12-01,3.76768
1986-12-02,3.82544
1986-12-03,3.8108
1986-12-04,3.79666
1986-12-05,3.76768
1986-12-08,3.78212
1986-12-09,3.73187
1986-12-10,3.79666
1986-12-11,3.76768
1986-12-12,3.76065
1986-12-15,3.68885
1986-12-16,3.72495
1986-12-17,3.71753
1986-12-18,3.76065
1986-12-19,3.86866
1986-12-22,3.8108
1986-12-23,3.71753
1986-12-24,3.75343
1986-12-26,3.76768
1986-12-29,3.7028
1986-12-30,3.7028
1986-12-31,3.62426
1987-01-02,3.68885
1987-01-05,3.83998
1987-01-06,3.85432
1987-01-07,3.8467
1987-01-08,3.86114
1987-01-09,3.85432
1987-01-12,3.86114
1987-01-13,3.82544
1987-01-14,3.78212
1987-01-15,3.94037
1987-01-16,3.91881
1987-01-19,3.92603
1987-01-20,4.01208
1987-01-21,3.89725
1987-01-22,4.04096
1987-01-23,4.02692
1987-01-26,3.99062
1987-01-27,4.06252
1987-01-28,4.04096
1987-01-29,4.10604
1987-01-30,4.14897
1987-02-02,4.21375
1987-02-03,4.23552
1987-02-04,4.2641
1987-02-05,4.24214
1987-02-06,4.23552
1987-02-09,4.16351
1987-02-10,4.0916
1987-02-11,4.12731
1987-02-12,4.12731
1987-02-13,4.17785
1987-02-17,4.27824
1987-02-18,4.34323
1987-02-19,4.5083
1987-02-20,4.46558
1987-02-23,4.42255
1987-02-24,4.42928
1987-02-25,4.49426
1987-02-26,4.53718
1987-02-27,4.53718
1987-03-02,4.5083
1987-03-03,4.50118
1987-03-04,4.55181
1987-03-05,4.64528
1987-03-06,4.64528
1987-03-09,4.57309
1987-03-10,4.58733
1987-03-11,4.59485
1987-03-12,4.64528
1987-03-13,4.55181
1987-03-16,4.49426
1987-03-17,4.58041
1987-03-18,4.49426
1987-03-19,4.5083
1987-03-20,4.58733
1987-03-23,4.73845
1987-03-24,4.86764
1987-03-25,4.83232
1987-03-26,4.87524
1987-03-27,4.84626
1987-03-30,4.70265
1987-03-31,4.7166
1987-04-01,4.68802
1987-04-02,4.67407
1987-04-03,4.89661
1987-04-06,4.93271
1987-04-07,4.79612
1987-04-08,4.81778
1987-04-09,4.74577
1987-04-10,4.68109
1987-04-13,4.53016
1987-04-14,4.46558
1987-04-15,4.53016
1987-04-16,4.58733
1987-04-20,4.55181
1987-04-21,4.68109
1987-04-22,4.67407
1987-04-23,4.7166
1987-04-24,4.56617
1987-04-27,4.51582
1987-04-28,4.57309
1987-04-29,4.67407
1987-04-30,4.76021
1987-05-01,4.87524
1987-05-04,4.80344
1987-05-05,4.91085
1987-05-06,5.06188
1987-05-07,4.9973
1987-05-08,4.85348
1987-05-11,4.80344
1987-05-12,4.76724
1987-05-13,4.76724
1987-05-14,4.74577
1987-05-15,4.67407
1987-05-18,4.63084
1987-05-19,4.55875
1987-05-20,4.47982
1987-05-21,4.53718
1987-05-22,4.68109
1987-05-26,4.79612
1987-05-27,4.789
1987-05-28,4.76724
1987-05-29,4.68802
1987-06-01,4.73845
1987-06-02,4.75319
1987-06-03,4.85348
1987-06-04,4.90413
1987-06-05,4.88959
1987-06-08,4.96851
1987-06-09,4.98305
1987-06-10,4.9973
1987-06-11,5.00481
1987-06-12,5.0695
1987-06-15,5.15545
1987-06-16,5.09798
1987-06-17,5.09096
1987-06-18,5.06188
1987-06-19,5.08374
1987-06-22,5.09798
1987-06-23,4.91085
1987-06-24,4.8248
1987-06-25,4.92529
1987-06-26,4.8248
1987-06-29,4.84626
1987-06-30,4.73143
1987-07-01,4.72451
1987-07-02,4.74577
1987-07-06,4.77436
1987-07-07,4.84626
1987-07-08,4.87524
1987-07-09,4.84626
1987-07-10,4.77436
1987-07-13,4.66684
1987-07-14,4.73143
1987-07-15,4.72451
1987-07-16,4.76724
1987-07-17,4.68802
1987-07-20,4.63084
1987-07-21,4.66684
1987-07-22,4.69563
1987-07-23,4.74577
1987-07-24,4.789
1987-07-27,4.83232
1987-07-28,4.87524
1987-07-29,4.92529
1987-07-30,4.94715
1987-07-31,4.95407
1987-08-03,4.88959
1987-08-04,4.83232
1987-08-05,4.93271
1987-08-06,5.09096
1987-08-07,5.05506
1987-08-10,5.15545
1987-08-11,5.3139
1987-08-12,5.27068
1987-08-13,5.34288
1987-08-14,5.3139
1987-08-17,5.43615
1987-08-18,5.42161
1987-08-19,5.3139
1987-08-20,5.35713
1987-08-21,5.35713
1987-08-24,5.24912
1987-08-25,5.37127
1987-08-26,5.35713
1987-08-27,5.27068
1987-08-28,5.14823
1987-08-31,5.19907
1987-09-01,5.09798
1987-09-02,5.01926
1987-09-03,4.97613
1987-09-04,4.91085
1987-09-08,4.91085
1987-09-09,4.96851
1987-09-10,5.0333
1987-09-11,5.09798
1987-09-14,5.09798
1987-09-15,5.01174
1987-09-16,4.92529
1987-09-17,4.92529
1987-09-18,4.89661
1987-09-21,4.79612
1987-09-22,4.95407
1987-09-23,4.99047
1987-09-24,4.8248
1987-09-25,4.81036
1987-09-28,4.85348
1987-09-29,4.87524
1987-09-30,4.8248
1987-10-01,4.77436
1987-10-02,4.79612
1987-10-05,4.76724
1987-10-06,4.50118
1987-10-07,4.64528
1987-10-08,4.58733
1987-10-09,4.4726
1987-10-12,4.32156
1987-10-13,4.2996
1987-10-14,4.228
1987-10-15,4.09843
1987-10-16,3.89725
1987-10-19,3.25
1987-10-20,3.51616
1987-10-21,3.8831
1987-10-22,3.8831
1987-10-23,4.04828
1987-10-26,3.65958
1987-10-27,3.72495
1987-10-28,3.76065
1987-10-29,3.94037
1987-10-30,4.06252
1987-11-02,4.0195
1987-11-03,3.83998
1987-11-04,3.73919
1987-11-05,3.83998
1987-11-06,3.85432
1987-11-09,3.75343
1987-11-10,3.79666
1987-11-11,3.8831
1987-11-12,3.97608
1987-11-13,3.94037
1987-11-16,3.96193
1987-11-17,3.92603
1987-11-18,3.97608
1987-11-19,3.94037
1987-11-20,4.0195
1987-11-23,4.09843
1987-11-24,4.12731
1987-11-25,3.98359
1987-11-27,3.89725
1987-11-30,3.68163
1987-12-01,3.7752
1987-12-02,3.85432
1987-12-03,3.59538
1987-12-04,3.68163
1987-12-07,3.79666
1987-12-08,3.96193
1987-12-09,3.98359
1987-12-10,3.79666
1987-12-11,3.73919
1987-12-14,3.83998
1987-12-15,3.90417
1987-12-16,3.97608
1987-12-17,3.90417
1987-12-18,4.02692
1987-12-21,4.0195
1987-12-22,3.99814
1987-12-23,4.00516
1987-12-24,4.02692
1987-12-28,3.89725
1987-12-29,3.81802
1987-12-30,3.86114
1987-12-31,3.92603
1988-01-04,4.06252
1988-01-05,4.06252
1988-01-06,4.12731
1988-01-07,4.12009
1988-01-08,3.78212
1988-01-11,3.82544
1988-01-12,3.78212
1988-01-13,3.78212
1988-01-14,3.82544
1988-01-15,4.00516
1988-01-18,3.96193
1988-01-19,3.94037
1988-01-20,3.82544
1988-01-21,3.81802
1988-01-22,3.91881
1988-01-25,3.97608
1988-01-26,3.96193
1988-01-27,3.94769
1988-01-28,3.91881
1988-01-29,4.04096
1988-02-01,3.98359
1988-02-02,4.04096
1988-02-03,3.98359
1988-02-04,3.94769
1988-02-05,4.0195
1988-02-08,4.00516
1988-02-09,4.0195
1988-02-10,4.04096
1988-02-11,4.09843
1988-02-12,4.10604
1988-02-16,4.14175
1988-02-17,4.06252
1988-02-18,4.04096
1988-02-19,4.07726
1988-02-22,4.09843
1988-02-23,4.14175
1988-02-24,4.228
1988-02-25,4.16351
1988-02-26,4.14897
1988-02-29,4.24214
1988-03-01,4.28556
1988-03-02,4.2641
1988-03-03,4.22068
1988-03-04,4.12731
1988-03-07,4.09843
1988-03-08,4.20653
1988-03-09,4.17785
1988-03-10,4.14897
1988-03-11,4.06252
1988-03-14,4.04096
1988-03-15,3.99814
1988-03-16,4.00516
1988-03-17,4.0195
1988-03-18,4.04096
1988-03-21,3.99814
1988-03-22,4.02692
1988-03-23,3.98359
1988-03-24,3.91881
1988-03-25,3.83998
1988-03-28,3.76065
1988-03-29,3.83998
1988-03-30,3.85432
1988-03-31,3.8831
1988-04-04,3.87559
1988-04-05,3.90417
1988-04-06,3.98359
1988-04-07,3.90417
1988-04-08,3.90417
1988-04-11,3.92603
1988-04-12,3.97608
1988-04-13,3.94769
1988-04-14,3.80368
1988-04-15,3.81802
1988-04-18,3.7752
1988-04-19,3.75343
1988-04-20,3.7028
1988-04-21,3.7028
1988-04-22,3.72495
1988-04-25,3.7752
1988-04-26,3.86114
1988-04-27,3.90417
1988-04-28,3.82544
1988-04-29,3.85432
1988-05-02,3.89725
1988-05-03,3.89725
1988-05-04,3.86114
1988-05-05,3.86114
1988-05-06,3.85432
1988-05-09,3.81802
1988-05-10,3.83998
1988-05-11,3.80368
1988-05-12,3.83998
1988-05-13,3.87559
1988-05-16,3.89725
1988-05-17,3.81802
1988-05-18,3.79666
1988-05-19,3.81802
1988-05-20,3.8831
1988-05-23,3.82544
1988-05-24,3.82544
1988-05-25,3.79666
1988-05-26,3.82544
1988-05-27,3.7752
1988-05-31,3.92603
1988-06-01,3.99814
1988-06-02,4.0195
1988-06-03,4.02692
1988-06-06,4.04828
1988-06-07,3.96193
1988-06-08,4.04096
1988-06-09,4.02692
1988-06-10,4.00516
1988-06-13,3.98359
1988-06-14,4.08408
1988-06-15,4.02692
1988-06-16,3.98359
1988-06-17,3.98359
1988-06-20,3.90417
1988-06-21,3.97608
