Date,PG.US
1986-09-02,3.45239
1986-09-03,3.44504
1986-09-04,3.47385
1986-09-05,3.37439
1986-09-08,3.35283
1986-09-09,3.37439
1986-09-10,3.39576
1986-09-11,3.22556
1986-09-12,3.17598
1986-09-15,3.16883
1986-09-16,3.15442
1986-09-17,3.05517
1986-09-18,3.04106
1986-09-19,2.98452
1986-09-22,3.01274
1986-09-23,3.0198
1986-09-24,3.02735
1986-09-25,2.9421
1986-09-26,2.9275
1986-09-29,2.96326
1986-09-30,2.98452
1986-10-01,3.00569
1986-10-02,3.0198
1986-10-03,3.0339
1986-10-06,3.06977
1986-10-07,3.04861
1986-10-08,3.11915
1986-10-09,3.12621
1986-10-10,3.13296
1986-10-13,3.15442
1986-10-14,3.18284
1986-10-15,3.2045
1986-10-16,3.24662
1986-10-17,3.21861
1986-10-20,3.16177
1986-10-21,3.14071
1986-10-22,3.15442
1986-10-23,3.21861
1986-10-24,3.22556
1986-10-27,3.24662
1986-10-28,3.24662
1986-10-29,3.2964
1986-10-30,3.32442
1986-10-31,3.30326
1986-11-03,3.38155
1986-11-04,3.37439
1986-11-05,3.38155
1986-11-06,3.3887
1986-11-07,3.35283
1986-11-10,3.33177
1986-11-11,3.33912
1986-11-12,3.37439
1986-11-13,3.32442
1986-11-14,3.28249
1986-11-17,3.25398
1986-11-18,3.17598
1986-11-19,3.23977
1986-11-20,3.28915
1986-11-21,3.37439
1986-11-24,3.43828
1986-11-25,3.40966
1986-11-26,3.43828
1986-11-28,3.42377
1986-12-01,3.45239
1986-12-02,3.55135
1986-12-03,3.49511
1986-12-04,3.47385
1986-12-05,3.42377
1986-12-08,3.43093
1986-12-09,3.40261
1986-12-10,3.45239
1986-12-11,3.47385
1986-12-12,3.40261
1986-12-15,3.50187
1986-12-16,3.53753
1986-12-17,3.47385
1986-12-18,3.4805
1986-12-19,3.51617
1986-12-22,3.53753
1986-12-23,3.48806
1986-12-24,3.50187
1986-12-26,3.48806
1986-12-29,3.45239
1986-12-30,3.40261
1986-12-31,3.36704
1987-01-02,3.42377
1987-01-05,3.50187
1987-01-06,3.47385
1987-01-07,3.4805
1987-01-08,3.52333
1987-01-09,3.53028
1987-01-12,3.56585
1987-01-13,3.5589
1987-01-14,3.60152
1987-01-15,3.70048
1987-01-16,3.74976
1987-01-19,3.73595
1987-01-20,3.75721
1987-01-21,3.74976
1987-01-22,3.87733
1987-01-23,3.74976
1987-01-26,3.82815
1987-01-27,3.84226
1987-01-28,3.87087
1987-01-29,3.84951
1987-01-30,3.87733
1987-02-02,3.80679
1987-02-03,3.8207
1987-02-04,3.80679
1987-02-05,3.79288
1987-02-06,3.77837
1987-02-09,3.81414
1987-02-10,3.79973
1987-02-11,3.79288
1987-02-12,3.74976
1987-02-13,3.79288
1987-02-17,3.913
1987-02-18,3.913
1987-02-19,3.89164
1987-02-20,3.8351
1987-02-23,3.77837
1987-02-24,3.76446
1987-02-25,3.77122
1987-02-26,3.75721
1987-02-27,3.8207
1987-03-02,3.77122
1987-03-03,3.77837
1987-03-04,3.8351
1987-03-05,4.01255
1987-03-06,3.92035
1987-03-09,4.04077
1987-03-10,4.03361
1987-03-11,4.04077
1987-03-12,4.08319
1987-03-13,4.08319
1987-03-16,3.99814
1987-03-17,4.04077
1987-03-18,4.09035
1987-03-19,4.12601
1987-03-20,4.13992
1987-03-23,4.1896
1987-03-24,4.17549
1987-03-25,4.11846
1987-03-26,4.12601
1987-03-27,4.13992
1987-03-30,4.01941
1987-03-31,4.05498
1987-04-01,4.09035
