Date,CAT.US
1986-09-02,3.49972
1986-09-03,3.52167
1986-09-04,3.53617
1986-09-05,3.49238
1986-09-08,3.44064
1986-09-09,3.48483
1986-09-10,3.48483
1986-09-11,3.27122
1986-09-12,3.26397
1986-09-15,3.29296
1986-09-16,3.30081
1986-09-17,3.30081
1986-09-18,3.21958
1986-09-19,3.11649
1986-09-22,3.16108
1986-09-23,3.20498
1986-09-24,2.84399
1986-09-25,2.7852
1986-09-26,2.71122
1986-09-29,2.60833
1986-09-30,2.65233
1986-10-01,2.69672
1986-10-02,2.61568
1986-10-03,2.60833
1986-10-06,2.61568
1986-10-07,2.61568
1986-10-08,2.62313
1986-10-09,2.65977
1986-10-10,2.65233
1986-10-13,2.62313
1986-10-14,2.65233
1986-10-15,2.64528
1986-10-16,2.65977
1986-10-17,2.65233
1986-10-20,2.61568
1986-10-21,2.61568
1986-10-22,2.57834
1986-10-23,2.60069
1986-10-24,2.59354
1986-10-27,2.60069
1986-10-28,2.60069
1986-10-29,2.65233
1986-10-30,2.70417
1986-10-31,2.7998
1986-11-03,2.82185
1986-11-04,2.80695
1986-11-05,2.76296
1986-11-06,2.75541
1986-11-07,2.74806
1986-11-10,2.71906
1986-11-11,2.73356
1986-11-12,2.68927
1986-11-13,2.61568
1986-11-14,2.69672
1986-11-17,2.65977
1986-11-18,2.63783
1986-11-19,2.61568
1986-11-20,2.70417
1986-11-21,2.76296
1986-11-24,2.79235
1986-11-25,2.7852
1986-11-26,2.75541
1986-11-28,2.7852
1986-12-01,2.75541
1986-12-02,2.73356
1986-12-03,2.829
1986-12-04,2.85144
1986-12-05,2.86614
1986-12-08,2.80695
1986-12-09,2.80695
1986-12-10,2.75541
1986-12-11,2.7852
1986-12-12,2.74806
1986-12-15,2.79235
1986-12-16,2.82185
1986-12-17,2.79235
1986-12-18,2.80695
1986-12-19,2.93267
1986-12-22,2.84399
1986-12-23,2.82185
1986-12-24,2.84399
1986-12-26,2.83684
1986-12-29,2.82185
1986-12-30,2.79235
1986-12-31,2.82185
1987-01-02,2.829
1987-01-05,2.91023
1987-01-06,2.91023
1987-01-07,2.88074
1987-01-08,2.87339
1987-01-09,2.93267
1987-01-12,2.94697
1987-01-13,2.98402
1987-01-14,3.02821
1987-01-15,3.10914
1987-01-16,3.12384
1987-01-19,3.16108
1987-01-20,3.16108
1987-01-21,3.1019
1987-01-22,3.07995
1987-01-23,2.94697
1987-01-26,2.93982
1987-01-27,3.01351
1987-01-28,3.00596
1987-01-29,3.02821
1987-01-30,3.06505
1987-02-02,3.13884
1987-02-03,3.25652
1987-02-04,3.27122
1987-02-05,3.33021
1987-02-06,3.28621
1987-02-09,3.24907
1987-02-10,3.22732
1987-02-11,3.27122
1987-02-12,3.27886
1987-02-13,3.33765
1987-02-17,3.38919
1987-02-18,3.3746
1987-02-19,3.35225
1987-02-20,3.30081
1987-02-23,3.27886
1987-02-24,3.20498
1987-02-25,3.25652
1987-02-26,3.24182
1987-02-27,3.23437
1987-03-02,3.23437
1987-03-03,3.19028
1987-03-04,3.22732
1987-03-05,3.19028
1987-03-06,3.19028
1987-03-09,3.22732
1987-03-10,3.31571
1987-03-11,3.31571
1987-03-12,3.29296
1987-03-13,3.29296
1987-03-16,3.25652
1987-03-17,3.27122
1987-03-18,3.22732
1987-03-19,3.28621
1987-03-20,3.32266
1987-03-23,3.38155
1987-03-24,3.38155
1987-03-25,3.3746
1987-03-26,3.38919
1987-03-27,3.3746
1987-03-30,3.36705
1987-03-31,3.39644
1987-04-01,3.41849
1987-04-02,3.41134
1987-04-03,3.52167
1987-04-06,3.56586
1987-04-07,3.57341
1987-04-08,3.50707
1987-04-09,3.36705
1987-04-10,3.36705
1987-04-13,3.32266
1987-04-14,3.28621
1987-04-15,3.32266
1987-04-16,3.33765
1987-04-20,3.30081
1987-04-21,3.43309
1987-04-22,3.36705
1987-04-23,3.33765
1987-04-24,3.29296
1987-04-27,3.22732
1987-04-28,3.22732
1987-04-29,3.33021
1987-04-30,3.39644
1987-05-01,3.42604
1987-05-04,3.44064
1987-05-05,3.56586
1987-05-06,3.73538
1987-05-07,3.89775
1987-05-08,4.00798
1987-05-11,4.00798
1987-05-12,3.97114
1987-05-13,3.9196
1987-05-14,3.83141
1987-05-15,3.83141
1987-05-18,3.81672
1987-05-19,3.74273
1987-05-20,3.60301
1987-05-21,3.6177
1987-05-22,3.63935
1987-05-26,3.73538
1987-05-27,3.80907
1987-05-28,3.80907
1987-05-29,3.66189
1987-06-01,3.73538
1987-06-02,3.73538
1987-06-03,3.73538
1987-06-04,3.74273
1987-06-05,3.69129
1987-06-08,3.75048
1987-06-09,3.80907
1987-06-10,3.77958
1987-06-11,3.82387
1987-06-12,3.86796
1987-06-15,3.80907
1987-06-16,3.83141
1987-06-17,3.85336
1987-06-18,3.82387
1987-06-19,3.88276
1987-06-22,3.91235
1987-06-23,3.9049
1987-06-24,3.87561
1987-06-25,3.95674
1987-06-26,3.92705
1987-06-29,3.83886
1987-06-30,3.77958
1987-07-01,3.72059
1987-07-02,3.72823
1987-07-06,3.66189
1987-07-07,3.65435
1987-07-08,3.76498
1987-07-09,3.86061
1987-07-10,4.11871
1987-07-13,4.22934
1987-07-14,4.25854
1987-07-15,4.1775
1987-07-16,4.22934
1987-07-17,4.45716
1987-07-20,4.40591
1987-07-21,4.35447
1987-07-22,4.44295
1987-07-23,4.44295
1987-07-24,4.45716
1987-07-27,4.58278
1987-07-28,4.61228
1987-07-29,4.57513
1987-07-30,4.60473
1987-07-31,4.59013
1987-08-03,4.58278
1987-08-04,4.51654
1987-08-05,4.52389
1987-08-06,4.54574
1987-08-07,4.62668
1987-08-10,4.63422
1987-08-11,4.63422
1987-08-12,4.70076
1987-08-13,4.69341
1987-08-14,4.63422
1987-08-17,4.70801
1987-08-18,4.60473
1987-08-19,4.57513
1987-08-20,4.63422
1987-08-21,4.70801
1987-08-24,4.63422
1987-08-25,4.63422
1987-08-26,4.58278
1987-08-27,4.43531
1987-08-28,4.39131
1987-08-31,4.38377
1987-09-01,4.35447
1987-09-02,4.32498
1987-09-03,4.30263
1987-09-04,4.36122
1987-09-08,4.56808
1987-09-09,4.65657
1987-09-10,4.78189
1987-09-11,4.88468
1987-09-14,4.89938
1987-09-15,4.78894
1987-09-16,4.7229
1987-09-17,4.70801
1987-09-18,4.80354
1987-09-21,4.82579
1987-09-22,4.89938
1987-09-23,5.0543
1987-09-24,5.19412
1987-09-25,5.11289
1987-09-28,5.16473
1987-09-29,5.17952
1987-09-30,5.20147
1987-10-01,5.22392
1987-10-02,5.19412
1987-10-05,5.23067
1987-10-06,5.07624
1987-10-07,5.01725
1987-10-08,4.98776
1987-10-09,4.92917
1987-10-12,4.82579
1987-10-13,4.95896
1987-10-14,4.84793
1987-10-15,4.78189
1987-10-16,4.58278
1987-10-19,3.59526
1987-10-20,3.29296
1987-10-21,3.77223
1987-10-22,3.55146
1987-10-23,3.41849
1987-10-26,2.98402
1987-10-27,3.12384
1987-10-28,3.16108
1987-10-29,3.3746
1987-10-30,3.52922
1987-11-02,3.60301
1987-11-03,3.6177
1987-11-04,3.66189
1987-11-05,3.9196
1987-11-06,3.83886
1987-11-09,3.82387
1987-11-10,3.77958
1987-11-11,3.92705
1987-11-12,4.08912
1987-11-13,4.11087
1987-11-16,4.04523
1987-11-17,3.99339
1987-11-18,4.03708
1987-11-19,3.97114
1987-11-20,4.08197
1987-11-23,4.16261
1987-11-24,4.25854
1987-11-25,4.33213
1987-11-27,4.25099
1987-11-30,4.03033
1987-12-01,3.96379
1987-12-02,4.00083
1987-12-03,3.9049
1987-12-04,3.78692
1987-12-07,3.95674
1987-12-08,4.05962
1987-12-09,4.2216
1987-12-10,4.18465
1987-12-11,4.13331
1987-12-14,4.25854
1987-12-15,4.25854
1987-12-16,4.35447
1987-12-17,4.33213
1987-12-18,4.42061
1987-12-21,4.39131
1987-12-22,4.38377
1987-12-23,4.40591
1987-12-24,4.38377
1987-12-28,4.30263
1987-12-29,4.26589
1987-12-30,4.30988
1987-12-31,4.39827
1988-01-04,4.44295
1988-01-05,4.56044
1988-01-06,4.67832
1988-01-07,4.63422
1988-01-08,4.33213
1988-01-11,4.27324
1988-01-12,4.27324
1988-01-13,4.24394
1988-01-14,4.26589
1988-01-15,4.40591
1988-01-18,4.45011
1988-01-19,4.41316
1988-01-20,4.16261
1988-01-21,4.03708
1988-01-22,4.11871
1988-01-25,4.16261
1988-01-26,4.10411
1988-01-27,4.03708
1988-01-28,4.07432
1988-01-29,4.14791
1988-02-01,4.15526
1988-02-02,4.09617
1988-02-03,4.14791
1988-02-04,4.15526
1988-02-05,4.2216
1988-02-08,4.14086
1988-02-09,4.16261
1988-02-10,4.26589
1988-02-11,4.28803
1988-02-12,4.28803
1988-02-16,4.38377
1988-02-17,4.36122
1988-02-18,4.38377
1988-02-19,4.41316
1988-02-22,4.52389
1988-02-23,4.56808
1988-02-24,4.57513
1988-02-25,4.57513
1988-02-26,4.55299
1988-02-29,4.62668
1988-03-01,4.69341
1988-03-02,4.62668
1988-03-03,4.63422
1988-03-04,4.55299
1988-03-07,4.59738
1988-03-08,4.61228
1988-03-09,4.66382
1988-03-10,4.50194
1988-03-11,4.52389
1988-03-14,4.61228
1988-03-15,4.59738
1988-03-16,4.66382
1988-03-17,4.767
1988-03-18,4.78894
1988-03-21,4.66382
1988-03-22,4.62668
1988-03-23,4.59738
1988-03-24,4.53859
1988-03-25,4.45011
1988-03-28,4.41316
1988-03-29,4.4942
1988-03-30,4.38377
1988-03-31,4.44295
1988-04-04,4.39827
1988-04-05,4.4795
1988-04-06,4.56808
1988-04-07,4.61972
1988-04-08,4.65657
1988-04-11,4.69341
1988-04-12,4.78189
1988-04-13,4.64177
1988-04-14,4.4652
1988-04-15,4.39827
1988-04-18,4.42061
1988-04-19,4.45716
1988-04-20,4.38377
1988-04-21,4.38377
1988-04-22,4.48715
1988-04-25,4.5088
1988-04-26,4.55299
1988-04-27,4.5088
1988-04-28,4.55299
1988-04-29,4.4795
1988-05-02,4.44295
1988-05-03,4.47235
1988-05-04,4.4652
1988-05-05,4.42061
1988-05-06,4.40591
1988-05-09,4.28803
1988-05-10,4.27324
1988-05-11,4.2071
1988-05-12,4.25854
1988-05-13,4.33213
1988-05-16,4.4795
