Date,INTC.US
1986-09-02,0.318396
1986-09-03,0.325365
1986-09-04,0.332444
1986-09-05,0.332444
1986-09-08,0.325365
1986-09-09,0.318396
1986-09-10,0.318396
1986-09-11,0.304209
1986-09-12,0.290022
1986-09-15,0.282944
1986-09-16,0.290022
1986-09-17,0.304209
1986-09-18,0.311278
1986-09-19,0.304209
1986-09-22,0.311278
1986-09-23,0.304209
1986-09-24,0.290022
1986-09-25,0.282944
1986-09-26,0.282944
1986-09-29,0.282944
1986-09-30,0.282944
1986-10-01,0.290022
1986-10-02,0.275994
1986-10-03,0.290022
1986-10-06,0.290022
1986-10-07,0.275994
1986-10-08,0.268846
1986-10-09,0.275994
1986-10-10,0.282944
1986-10-13,0.290022
1986-10-14,0.290022
1986-10-15,0.282944
1986-10-16,0.282944
1986-10-17,0.282944
1986-10-20,0.275994
1986-10-21,0.275994
1986-10-22,0.282944
1986-10-23,0.29717
1986-10-24,0.304209
1986-10-27,0.311278
1986-10-28,0.290022
1986-10-29,0.29717
1986-10-30,0.304209
1986-10-31,0.29717
1986-11-03,0.29717
1986-11-04,0.318396
1986-11-05,0.311278
1986-11-06,0.318396
1986-11-07,0.311278
1986-11-10,0.304209
1986-11-11,0.304209
1986-11-12,0.29717
1986-11-13,0.290022
1986-11-14,0.29717
1986-11-17,0.304209
1986-11-18,0.290022
1986-11-19,0.290022
1986-11-20,0.304209
1986-11-21,0.311278
1986-11-24,0.318396
1986-11-25,0.325365
1986-11-26,0.332444
1986-11-28,0.339542
1986-12-01,0.346611
1986-12-02,0.339542
1986-12-03,0.339542
1986-12-04,0.332444
1986-12-05,0.325365
1986-12-08,0.325365
1986-12-09,0.325365
1986-12-10,0.325365
1986-12-11,0.332444
1986-12-12,0.332444
1986-12-15,0.332444
1986-12-16,0.332444
1986-12-17,0.332444
1986-12-18,0.332444
1986-12-19,0.332444
1986-12-22,0.332444
1986-12-23,0.318396
1986-12-24,0.318396
1986-12-26,0.325365
1986-12-29,0.318396
1986-12-30,0.311278
1986-12-31,0.311278
1987-01-02,0.311278
1987-01-05,0.318396
1987-01-06,0.325365
1987-01-07,0.339542
1987-01-08,0.353729
1987-01-09,0.360936
1987-01-12,0.374994
1987-01-13,0.374994
1987-01-14,0.410496
1987-01-15,0.424366
1987-01-16,0.403269
1987-01-19,0.424366
1987-01-20,0.410496
1987-01-21,0.403269
1987-01-22,0.431583
1987-01-23,0.431583
1987-01-26,0.417406
1987-01-27,0.431583
1987-01-28,0.438711
1987-01-29,0.424366
1987-01-30,0.459848
1987-02-02,0.509259
1987-02-03,0.516288
1987-02-04,0.509259
1987-02-05,0.509259
1987-02-06,0.516288
1987-02-09,0.516288
1987-02-10,0.516288
1987-02-11,0.558759
1987-02-12,0.530544
1987-02-13,0.530544
1987-02-17,0.544701
1987-02-18,0.544701
1987-02-19,0.544701
1987-02-20,0.516288
1987-02-23,0.509259
1987-02-24,0.530544
1987-02-25,0.551829
1987-02-26,0.558759
