Date,IBM.US
1986-09-04,23.0792
1986-09-05,23.2441
1986-09-08,23.8051
1986-09-09,23.8228
1986-09-10,23.8633
1986-09-11,23.0585
1986-09-12,22.7444
1986-09-15,22.6862
1986-09-16,22.8916
1986-09-17,22.7849
1986-09-18,22.9133
1986-09-19,22.6644
1986-09-22,22.9498
1986-09-23,23.0585
1986-09-24,22.7672
1986-09-25,22.4817
1986-09-26,22.4324
1986-09-29,22.2279
1986-09-30,22.2665
1986-10-01,22.0196
1986-10-02,22.0196
1986-10-03,21.671
1986-10-06,22.1055
1986-10-07,21.2137
1986-10-08,21.112
1986-10-09,20.1975
1986-10-10,20.475
1986-10-13,20.1975
1986-10-14,20.0119
1986-10-15,20.3644
1986-10-16,20.0504
1986-10-17,20.1807
1986-10-20,19.9092
1986-10-21,20.0988
1986-10-22,19.9348
1986-10-23,20.1205
1986-10-24,20.0988
1986-10-27,20.2173
1986-10-28,19.9921
1986-10-29,20.0119
1986-10-30,20.1975
1986-10-31,20.475
1986-11-03,20.9224
1986-11-04,20.8444
1986-11-05,20.3842
1986-11-06,20.0988
1986-11-07,20.1205
1986-11-10,20.3842
1986-11-11,20.4879
1986-11-12,20.3259
1986-11-13,19.845
1986-11-14,20.0988
1986-11-17,20.1975
1986-11-18,19.9575
1986-11-19,20.3644
1986-11-20,20.4533
1986-11-21,20.4069
1986-11-24,20.637
1986-11-25,21.0508
1986-11-26,20.8631
1986-11-28,21.0508
1986-12-01,21.0893
1986-12-02,21.5031
1986-12-03,21.2947
1986-12-04,21.1495
1986-12-05,20.9629
1986-12-08,21.1495
1986-12-09,21.0093
1986-12-10,21.1969
1986-12-11,21.1969
1986-12-12,20.9441
1986-12-15,21.1308
1986-12-16,21.2137
1986-12-17,20.9836
1986-12-18,20.7575
1986-12-19,20.717
1986-12-22,20.3842
1986-12-23,19.9575
1986-12-24,20.1975
1986-12-26,20.1975
1986-12-29,19.9724
1986-12-30,20.0119
1986-12-31,19.8697
1987-01-02,20.1975
1987-01-05,20.475
1987-01-06,20.3644
1987-01-07,20.4533
1987-01-08,20.3457
1987-01-09,20.238
1987-01-12,19.9348
1987-01-13,19.288
1987-01-14,19.6415
1987-01-15,19.8697
1987-01-16,19.8697
1987-01-19,20.7397
1987-01-20,20.3259
1987-01-21,20.3259
1987-01-22,21.0893
1987-01-23,20.9046
1987-01-26,21.0686
1987-01-27,21.4221
1987-01-28,21.5238
1987-01-29,21.2947
1987-01-30,21.3164
1987-02-02,21.8951
1987-02-03,22.0196
1987-02-04,22.3741
1987-02-05,22.6644
1987-02-06,22.4817
1987-02-09,22.148
1987-02-10,22.0877
1987-02-11,22.1875
1987-02-12,21.9603
1987-02-13,22.2724
1987-02-17,22.9133
1987-02-18,22.8541
1987-02-19,23.0377
1987-02-20,23.1167
1987-02-23,23.7419
1987-02-24,23.6757
1987-02-25,23.4693
1987-02-26,23.0792
1987-02-27,23.098
1987-03-02,22.934
1987-03-03,22.8699
1987-03-04,23.1572
1987-03-05,23.2441
1987-03-06,23.0792
1987-03-09,22.9933
1987-03-10,23.6589
1987-03-11,23.4693
1987-03-12,23.8831
1987-03-13,23.9897
1987-03-16,23.9502
1987-03-17,24.3611
1987-03-18,24.2129
1987-03-19,24.3403
1987-03-20,24.606
1987-03-23,24.7926
1987-03-24,25.3111
1987-03-25,25.7703
1987-03-26,25.4987
1987-03-27,24.9605
1987-03-30,25.2311
1987-03-31,24.8608
1987-04-01,25.0267
1987-04-02,24.5053
1987-04-03,24.7541
1987-04-06,24.7344
1987-04-07,24.2564
1987-04-08,24.3808
1987-04-09,23.8416
1987-04-10,24.0095
1987-04-13,24.4411
1987-04-14,24.5299
1987-04-15,24.9803
1987-04-16,24.84
1987-04-20,24.84
1987-04-21,25.9984
1987-04-22,25.5392
1987-04-23,25.5392
1987-04-24,25.1254
1987-04-27,25.5392
1987-04-28,25.7051
1987-04-29,26.2601
1987-04-30,26.5139
1987-05-01,26.5959
1987-05-04,26.987
1987-05-05,27.6358
1987-05-06,27.6111
1987-05-07,27.301
1987-05-08,27.1164
1987-05-11,26.987
1987-05-12,27.38
1987-05-13,27.5262
1987-05-14,27.3415
1987-05-15,26.5959
1987-05-18,26.6542
1987-05-19,25.956
1987-05-20,25.9362
1987-05-21,26.0379
1987-05-22,25.9362
1987-05-26,26.5959
1987-05-27,26.6542
1987-05-28,26.9258
1987-05-29,26.4932
1987-06-01,26.429
1987-06-02,26.0379
1987-06-03,26.5357
1987-06-04,26.7233
1987-06-05,26.4932
1987-06-08,26.7006
1987-06-09,26.4735
1987-06-10,26.1229
1987-06-11,26.0962
1987-06-12,25.9362
1987-06-15,26.429
1987-06-16,26.8221
1987-06-17,26.7233
1987-06-18,26.6344
1987-06-19,26.7233
1987-06-22,27.0364
1987-06-23,27.301
1987-06-24,27.5045
1987-06-25,27.8017
1987-06-26,27.5677
1987-06-29,27.38
1987-06-30,26.908
1987-07-01,27.1509
1987-07-02,27.1954
1987-07-06,27.3415
1987-07-07,27.1341
1987-07-08,27.6111
1987-07-09,27.5262
1987-07-10,27.6526
1987-07-13,28.1286
1987-07-14,27.7326
1987-07-15,27.8185
1987-07-16,27.8373
1987-07-17,27.6526
1987-07-20,27.2605
1987-07-21,26.9495
1987-07-22,26.7233
1987-07-23,26.5139
1987-07-24,26.7006
1987-07-27,26.8458
1987-07-28,26.7006
1987-07-29,26.7401
1987-07-30,26.8882
1987-07-31,26.6542
1987-08-03,26.3688
1987-08-04,26.3915
1987-08-05,26.5357
1987-08-06,26.987
1987-08-07,27.2181
1987-08-10,27.6111
1987-08-11,27.9854
1987-08-12,28.2125
1987-08-13,28.7122
1987-08-14,28.6895
1987-08-17,28.894
1987-08-18,28.6244
1987-08-19,28.5809
1987-08-20,28.9364
1987-08-21,28.9364
1987-08-24,28.9167
1987-08-25,28.4752
1987-08-26,27.8017
1987-08-27,27.5262
1987-08-28,27.5677
1987-08-31,27.8787
1987-09-01,26.9672
1987-09-02,26.908
1987-09-03,26.7618
1987-09-04,26.6176
1987-09-08,26.1229
1987-09-09,26.0379
1987-09-10,26.1229
1987-09-11,26.6828
1987-09-14,26.8221
1987-09-15,26.0765
1987-09-16,25.9362
1987-09-17,26.1416
1987-09-18,25.7249
1987-09-21,24.9181
1987-09-22,25.7911
1987-09-23,25.5392
1987-09-24,25.8108
1987-09-25,25.8306
1987-09-28,25.2913
1987-09-29,24.9181
1987-09-30,24.9605
1987-10-01,25.6044
1987-10-02,25.7051
1987-10-05,25.9096
1987-10-06,24.998
1987-10-07,25.2913
1987-10-08,25.084
1987-10-09,24.4006
1987-10-12,24.7541
1987-10-13,24.6267
1987-10-14,24.05
1987-10-15,23.2056
1987-10-16,22.3514
1987-10-19,17.0936
1987-10-20,19.0411
1987-10-21,20.3259
1987-10-22,19.8697
1987-10-23,19.9921
1987-10-26,18.5434
1987-10-27,19.5418
1987-10-28,19.5418
1987-10-29,19.9092
1987-10-30,20.2844
1987-11-02,20.6192
1987-11-03,20.1807
1987-11-04,19.9724
1987-11-05,20.4879
1987-11-06,19.7887
1987-11-09,19.5606
1987-11-10,19.4924
1987-11-11,19.7452
1987-11-12,20.2459
1987-11-13,20.1383
1987-11-16,19.8697
1987-11-17,19.4924
1987-11-18,19.601
1987-11-19,19.1497
1987-11-20,19.4924
1987-11-23,19.4559
1987-11-24,19.6198
1987-11-25,19.4746
1987-11-27,19.0233
1987-11-30,18.337
1987-12-01,18.4239
1987-12-02,18.2975
1987-12-03,17.6328
1987-12-04,17.8373
1987-12-07,18.1306
1987-12-08,18.4624
1987-12-09,18.8772
1987-12-10,18.3784
1987-12-11,18.2382
1987-12-14,19.0618
1987-12-15,19.21
1987-12-16,19.68
1987-12-17,19.1231
1987-12-18,19.4114
1987-12-21,19.5813
1987-12-22,19.5813
1987-12-23,19.7887
1987-12-24,19.845
1987-12-28,19.1675
1987-12-29,19.21
1987-12-30,19.3769
1987-12-31,19.1231
1988-01-04,19.9921
1988-01-05,20.1807
1988-01-06,20.3457
1988-01-07,20.4306
1988-01-08,19.0233
1988-01-11,19.4924
1988-01-12,19.0806
1988-01-13,19.2287
1988-01-14,19.1863
1988-01-15,19.7067
1988-01-18,19.4924
1988-01-19,18.5049
1988-01-20,18.2767
1988-01-21,18.3784
1988-01-22,18.2975
1988-01-25,18.7508
1988-01-26,18.5246
1988-01-27,18.6717
1988-01-28,18.8347
1988-01-29,18.6115
1988-02-01,18.2106
1988-02-02,18.1938
1988-02-03,18.0526
1988-02-04,17.9864
1988-02-05,17.8847
1988-02-08,17.8373
1988-02-09,18.0703
1988-02-10,18.4821
1988-02-11,18.4239
1988-02-12,18.5434
1988-02-16,18.8347
1988-02-17,18.6717
1988-02-18,18.6293
1988-02-19,18.7745
1988-02-22,19.0806
1988-02-23,19.1023
1988-02-24,19.2287
1988-02-25,18.9641
1988-02-26,19.1675
1988-02-29,19.4559
1988-03-01,19.3769
1988-03-02,19.4114
1988-03-03,19.288
1988-03-04,19.3542
1988-03-07,19.4114
1988-03-08,19.4746
1988-03-09,19.3107
1988-03-10,18.8347
1988-03-11,19.1231
1988-03-14,19.1231
1988-03-15,18.8772
1988-03-16,19.0806
1988-03-17,19.0233
1988-03-18,18.9147
1988-03-21,18.8347
1988-03-22,18.731
1988-03-23,18.4821
1988-03-24,18.2106
1988-03-25,17.7197
1988-03-28,17.9064
1988-03-29,17.5331
1988-03-30,17.4047
1988-03-31,17.8175
1988-04-04,17.8007
1988-04-05,17.8007
1988-04-06,18.1483
1988-04-07,18.0921
1988-04-08,18.4821
1988-04-11,18.7745
1988-04-12,18.8169
1988-04-13,19.2287
1988-04-14,18.4436
1988-04-15,18.8979
1988-04-18,18.8772
1988-04-19,18.731
1988-04-20,18.6895
1988-04-21,18.6115
1988-04-22,18.8347
1988-04-25,18.8544
1988-04-26,18.9147
1988-04-27,18.8772
1988-04-28,18.731
1988-04-29,18.7745
1988-05-02,18.8979
1988-05-03,18.9828
1988-05-04,18.7508
1988-05-05,18.4239
1988-05-06,18.2975
1988-05-09,18.2975
1988-05-10,18.3567
1988-05-11,18.0061
1988-05-12,18.0061
1988-05-13,18.2767
1988-05-16,18.4821
1988-05-17,18.2382
1988-05-18,18.0239
1988-05-19,18.2975
1988-05-20,18.1306
1988-05-23,18.0061
1988-05-24,18.0921
1988-05-25,17.9637
1988-05-26,17.9271
1988-05-27,17.8847
1988-05-31,18.6293
1988-06-01,18.731
1988-06-02,18.6471
1988-06-03,18.7508
1988-06-06,18.9354
1988-06-07,18.8347
1988-06-08,19.3107
1988-06-09,19.1023
1988-06-10,19.21
1988-06-13,19.3769
1988-06-14,19.6603
1988-06-15,19.6879
1988-06-16,19.3956
1988-06-17,19.4559
1988-06-20,19.3956
1988-06-21,19.9092
1988-06-22,20.3644
1988-06-23,20.8256
1988-06-24,20.717
1988-06-27,20.6992
1988-06-28,21.032
1988-06-29,21.032
1988-06-30,21.0893
1988-07-01,20.9708
1988-07-05,21.4033
1988-07-06,21.0093
1988-07-07,21.1308
1988-07-08,20.9224
1988-07-11,20.9895
1988-07-12,20.7397
1988-07-13,20.7397
1988-07-14,20.6587
1988-07-15,20.9441
1988-07-18,20.717
1988-07-19,20.5343
1988-07-20,20.5343
1988-07-21,20.159
1988-07-22,19.8924
1988-07-25,20.2676
1988-07-26,20.3052
1988-07-27,20.0583
1988-07-28,20.4879
1988-07-29,20.8256
1988-08-01,20.9046
1988-08-02,20.8256
1988-08-03,20.8256
1988-08-04,20.5698
1988-08-05,20.5106
1988-08-08,20.3842
1988-08-09,20.1383
1988-08-10,19.6879
1988-08-11,19.7067
1988-08-12,19.5418
1988-08-15,19.0618
1988-08-16,19.1675
1988-08-17,18.9828
1988-08-18,18.9828
1988-08-19,18.6717
1988-08-22,18.337
1988-08-23,18.3567
1988-08-24,18.6717
1988-08-25,18.4821
1988-08-26,18.5918
