Date,WBA.US
1986-09-02,1.30139
1986-09-03,1.30139
1986-09-04,1.30139
1986-09-05,1.30139
1986-09-08,1.25773
1986-09-09,1.24983
1986-09-10,1.23537
1986-09-11,1.16191
1986-09-12,1.14804
1986-09-15,1.1328
1986-09-16,1.1328
1986-09-17,1.14804
1986-09-18,1.14023
1986-09-19,1.15517
1986-09-22,1.16191
1986-09-23,1.17705
1986-09-24,1.16963
1986-09-25,1.15517
1986-09-26,1.14804
1986-09-29,1.1328
1986-09-30,1.1328
1986-10-01,1.14804
1986-10-02,1.16963
1986-10-03,1.16963
1986-10-06,1.16191
1986-10-07,1.16191
1986-10-08,1.15517
1986-10-09,1.14804
1986-10-10,1.14804
1986-10-13,1.15517
1986-10-14,1.14804
1986-10-15,1.19873
1986-10-16,1.18437
1986-10-17,1.19873
1986-10-20,1.17705
1986-10-21,1.16191
1986-10-22,1.15517
1986-10-23,1.19873
1986-10-24,1.21359
1986-10-27,1.17705
1986-10-28,1.18437
1986-10-29,1.18437
1986-10-30,1.19873
1986-10-31,1.22813
1986-11-03,1.21359
1986-11-04,1.22091
1986-11-05,1.19873
1986-11-06,1.23537
1986-11-07,1.24983
1986-11-10,1.25773
1986-11-11,1.27913
1986-11-12,1.27913
1986-11-13,1.26447
1986-11-14,1.28665
1986-11-17,1.26447
1986-11-18,1.19873
1986-11-19,1.22813
1986-11-20,1.23537
1986-11-21,1.25773
1986-11-24,1.29397
1986-11-25,1.26447
1986-11-26,1.23537
1986-11-28,1.25773
1986-12-01,1.24983
1986-12-02,1.29397
1986-12-03,1.27913
1986-12-04,1.27913
1986-12-05,1.26447
1986-12-08,1.25773
1986-12-09,1.25773
1986-12-10,1.26447
1986-12-11,1.22091
1986-12-12,1.22091
1986-12-15,1.22091
1986-12-16,1.22091
1986-12-17,1.23537
1986-12-18,1.20616
1986-12-19,1.23537
1986-12-22,1.23537
1986-12-23,1.23537
1986-12-24,1.22091
1986-12-26,1.22813
1986-12-29,1.22091
1986-12-30,1.21359
1986-12-31,1.21359
1987-01-02,1.25773
1987-01-05,1.27913
1987-01-06,1.27209
1987-01-07,1.26447
1987-01-08,1.27913
1987-01-09,1.30139
1987-01-12,1.29397
1987-01-13,1.31575
1987-01-14,1.30853
1987-01-15,1.30853
1987-01-16,1.30853
1987-01-19,1.32327
1987-01-20,1.33745
1987-01-21,1.33745
1987-01-22,1.35239
1987-01-23,1.34525
1987-01-26,1.33745
1987-01-27,1.35239
1987-01-28,1.39635
1987-01-29,1.36685
1987-01-30,1.33745
1987-02-02,1.37447
1987-02-03,1.35239
1987-02-04,1.39635
1987-02-05,1.37447
1987-02-06,1.39635
1987-02-09,1.40367
1987-02-10,1.38179
1987-02-11,1.39635
1987-02-12,1.38179
1987-02-13,1.39635
1987-02-17,1.39635
1987-02-18,1.40367
1987-02-19,1.40367
1987-02-20,1.44763
1987-02-23,1.41823
1987-02-24,1.42555
1987-02-25,1.43287
1987-02-26,1.43287
1987-02-27,1.40367
1987-03-02,1.35239
1987-03-03,1.36685
1987-03-04,1.39635
1987-03-05,1.39635
1987-03-06,1.4108
1987-03-09,1.4108
1987-03-10,1.41823
1987-03-11,1.4108
1987-03-12,1.41823
1987-03-13,1.4108
1987-03-16,1.4108
1987-03-17,1.4108
1987-03-18,1.41823
1987-03-19,1.40367
1987-03-20,1.40367
1987-03-23,1.39635
1987-03-24,1.40367
1987-03-25,1.39635
1987-03-26,1.38901
1987-03-27,1.39635
1987-03-30,1.37447
1987-03-31,1.38179
1987-04-01,1.37447
1987-04-02,1.35239
1987-04-03,1.36685
1987-04-06,1.35239
1987-04-07,1.34525
1987-04-08,1.39635
1987-04-09,1.39635
1987-04-10,1.40367
1987-04-13,1.33745
1987-04-14,1.30139
1987-04-15,1.31575
1987-04-16,1.32327
1987-04-20,1.32327
1987-04-21,1.34525
1987-04-22,1.35239
1987-04-23,1.33745
1987-04-24,1.31575
1987-04-27,1.31575
1987-04-28,1.30853
1987-04-29,1.34525
1987-04-30,1.36685
1987-05-01,1.37447
1987-05-04,1.36685
1987-05-05,1.38179
1987-05-06,1.38901
1987-05-07,1.42555
1987-05-08,1.40367
1987-05-11,1.39635
1987-05-12,1.39635
1987-05-13,1.38179
1987-05-14,1.40367
1987-05-15,1.38179
1987-05-18,1.35239
1987-05-19,1.33051
1987-05-20,1.31575
1987-05-21,1.31575
1987-05-22,1.31575
1987-05-26,1.33745
1987-05-27,1.34525
1987-05-28,1.36685
1987-05-29,1.38901
1987-06-01,1.38179
1987-06-02,1.38179
1987-06-03,1.4108
1987-06-04,1.42555
1987-06-05,1.4108
1987-06-08,1.41823
1987-06-09,1.4108
1987-06-10,1.43287
1987-06-11,1.44763
1987-06-12,1.45456
1987-06-15,1.46218
1987-06-16,1.46218
1987-06-17,1.47693
1987-06-18,1.51336
1987-06-19,1.54257
1987-06-22,1.57188
1987-06-23,1.52792
1987-06-24,1.51336
1987-06-25,1.52792
1987-06-26,1.57188
1987-06-29,1.58614
1987-06-30,1.55703
1987-07-01,1.56435
1987-07-02,1.5791
1987-07-06,1.5791
1987-07-07,1.5791
1987-07-08,1.5791
1987-07-09,1.55703
1987-07-10,1.5499
1987-07-13,1.55703
1987-07-14,1.55703
1987-07-15,1.57188
1987-07-16,1.55703
1987-07-17,1.55703
1987-07-20,1.55703
1987-07-21,1.55703
1987-07-22,1.55703
1987-07-23,1.5204
1987-07-24,1.54257
1987-07-27,1.55703
1987-07-28,1.57188
1987-07-29,1.5791
1987-07-30,1.59356
1987-07-31,1.59356
1987-08-03,1.60841
1987-08-04,1.57188
1987-08-05,1.61564
1987-08-06,1.62296
1987-08-07,1.62296
1987-08-10,1.6594
1987-08-11,1.6885
1987-08-12,1.65217
1987-08-13,1.65217
1987-08-14,1.67405
1987-08-17,1.66662
1987-08-18,1.60841
1987-08-19,1.60108
1987-08-20,1.6594
1987-08-21,1.67405
1987-08-24,1.62296
1987-08-25,1.66662
1987-08-26,1.6594
1987-08-27,1.6594
1987-08-28,1.57188
1987-08-31,1.5791
1987-09-01,1.57188
1987-09-02,1.53524
1987-09-03,1.5499
1987-09-04,1.50604
1987-09-08,1.47693
1987-09-09,1.49119
1987-09-10,1.51336
1987-09-11,1.58614
1987-09-14,1.60841
1987-09-15,1.59356
1987-09-16,1.55703
1987-09-17,1.52792
1987-09-18,1.51336
1987-09-21,1.47693
1987-09-22,1.51336
1987-09-23,1.52792
1987-09-24,1.52792
1987-09-25,1.51336
1987-09-28,1.56435
1987-09-29,1.52792
1987-09-30,1.51336
1987-10-01,1.51336
1987-10-02,1.51336
1987-10-05,1.51336
1987-10-06,1.46931
1987-10-07,1.46931
1987-10-08,1.44001
1987-10-09,1.44763
1987-10-12,1.43287
1987-10-13,1.46931
1987-10-14,1.35981
1987-10-15,1.31575
1987-10-16,1.20616
1987-10-19,1.04528
1987-10-20,1.0236
1987-10-21,1.12606
1987-10-22,1.09646
1987-10-23,1.07458
1987-10-26,1.01617
1987-10-27,1.00855
1987-10-28,1.06726
1987-10-29,1.11112
1987-10-30,1.15517
1987-11-02,1.20616
1987-11-03,1.17705
1987-11-04,1.18437
1987-11-05,1.20616
1987-11-06,1.16191
1987-11-09,1.15517
1987-11-10,1.12606
1987-11-11,1.14023
1987-11-12,1.16963
1987-11-13,1.16963
1987-11-16,1.17705
1987-11-17,1.18437
1987-11-18,1.19151
1987-11-19,1.15517
1987-11-20,1.12606
1987-11-23,1.1328
1987-11-24,1.14804
1987-11-25,1.15517
1987-11-27,1.14023
1987-11-30,1.00855
1987-12-01,1.03082
1987-12-02,1.04528
1987-12-03,1.00132
1987-12-04,0.979638
1987-12-07,1.03825
1987-12-08,1.11112
1987-12-09,1.12606
1987-12-10,1.14023
1987-12-11,1.16191
1987-12-14,1.20616
1987-12-15,1.14804
1987-12-16,1.23537
1987-12-17,1.22091
1987-12-18,1.23537
1987-12-21,1.24279
1987-12-22,1.27913
1987-12-23,1.26447
1987-12-24,1.23537
1987-12-28,1.19873
1987-12-29,1.18437
1987-12-30,1.19873
1987-12-31,1.16963
1988-01-04,1.20616
1988-01-05,1.22091
1988-01-06,1.19873
1988-01-07,1.20616
1988-01-08,1.14023
1988-01-11,1.14023
1988-01-12,1.11112
1988-01-13,1.09646
1988-01-14,1.09646
1988-01-15,1.14023
1988-01-18,1.1328
1988-01-19,1.12606
1988-01-20,1.11825
1988-01-21,1.11112
1988-01-22,1.09646
1988-01-25,1.09646
1988-01-26,1.09646
1988-01-27,1.08191
1988-01-28,1.08904
1988-01-29,1.08904
1988-02-01,1.12606
1988-02-02,1.15517
1988-02-03,1.15517
1988-02-04,1.1328
1988-02-05,1.14804
1988-02-08,1.14804
1988-02-09,1.17705
1988-02-10,1.17705
1988-02-11,1.19151
1988-02-12,1.20616
1988-02-16,1.22091
1988-02-17,1.19873
1988-02-18,1.17705
1988-02-19,1.19873
1988-02-22,1.21359
1988-02-23,1.19873
1988-02-24,1.18437
1988-02-25,1.18437
1988-02-26,1.19873
1988-02-29,1.22091
1988-03-01,1.19151
1988-03-02,1.19873
1988-03-03,1.20616
1988-03-04,1.19873
1988-03-07,1.19873
1988-03-08,1.24279
1988-03-09,1.29397
1988-03-10,1.21359
1988-03-11,1.24983
1988-03-14,1.26447
1988-03-15,1.26447
1988-03-16,1.24983
1988-03-17,1.24983
1988-03-18,1.25773
1988-03-21,1.24983
1988-03-22,1.27209
1988-03-23,1.25773
1988-03-24,1.21359
1988-03-25,1.17705
1988-03-28,1.18437
1988-03-29,1.20616
1988-03-30,1.21359
1988-03-31,1.22813
1988-04-04,1.27209
1988-04-05,1.36685
1988-04-06,1.35239
1988-04-07,1.35239
1988-04-08,1.35239
1988-04-11,1.35239
1988-04-12,1.33745
1988-04-13,1.33051
1988-04-14,1.27913
1988-04-15,1.27913
1988-04-18,1.28665
1988-04-19,1.27913
1988-04-20,1.26447
1988-04-21,1.25773
1988-04-22,1.25773
1988-04-25,1.28665
1988-04-26,1.27913
1988-04-27,1.26447
1988-04-28,1.27913
1988-04-29,1.30853
1988-05-02,1.27913
1988-05-03,1.29397
1988-05-04,1.25773
1988-05-05,1.24983
1988-05-06,1.24279
1988-05-09,1.19873
1988-05-10,1.15517
1988-05-11,1.14804
1988-05-12,1.14023
1988-05-13,1.16191
1988-05-16,1.16963
1988-05-17,1.16191
1988-05-18,1.15517
1988-05-19,1.16191
1988-05-20,1.16963
1988-05-23,1.16963
1988-05-24,1.15517
1988-05-25,1.16191
1988-05-26,1.17705
1988-05-27,1.16963
1988-05-31,1.24279
1988-06-01,1.25773
1988-06-02,1.25773
1988-06-03,1.27209
1988-06-06,1.27913
1988-06-07,1.27209
1988-06-08,1.31575
1988-06-09,1.30139
1988-06-10,1.33051
1988-06-13,1.33051
1988-06-14,1.35981
1988-06-15,1.34525
1988-06-16,1.33051
1988-06-17,1.33051
1988-06-20,1.33051
1988-06-21,1.34525
1988-06-22,1.38901
1988-06-23,1.35981
1988-06-24,1.35981
1988-06-27,1.34525
1988-06-28,1.35239
1988-06-29,1.35981
1988-06-30,1.36685
1988-07-01,1.33051
1988-07-05,1.33051
1988-07-06,1.27209
1988-07-07,1.27209
1988-07-08,1.27209
1988-07-11,1.27913
1988-07-12,1.27209
1988-07-13,1.28665
1988-07-14,1.28665
1988-07-15,1.30139
1988-07-18,1.28665
1988-07-19,1.25773
1988-07-20,1.27209
1988-07-21,1.25773
1988-07-22,1.21359
1988-07-25,1.22813
1988-07-26,1.24279
1988-07-27,1.22813
1988-07-28,1.23537
1988-07-29,1.23537
1988-08-01,1.22813
1988-08-02,1.22091
1988-08-03,1.19151
1988-08-04,1.18437
1988-08-05,1.19873
1988-08-08,1.19151
1988-08-09,1.16191
1988-08-10,1.14023
1988-08-11,1.14804
1988-08-12,1.1328
1988-08-15,1.08904
1988-08-16,1.07458
1988-08-17,1.08904
1988-08-18,1.07458
1988-08-19,1.08904
1988-08-22,1.07458
1988-08-23,1.07458
1988-08-24,1.08191
1988-08-25,1.0528
1988-08-26,1.0528
1988-08-29,1.07458
1988-08-30,1.08904
1988-08-31,1.11825
1988-09-01,1.10369
1988-09-02,1.14804
1988-09-06,1.14804
1988-09-07,1.16191
1988-09-08,1.15517
1988-09-09,1.15517
1988-09-12,1.14804
1988-09-13,1.16191
1988-09-14,1.16191
1988-09-15,1.14804
1988-09-16,1.17705
1988-09-19,1.19151
1988-09-20,1.19873
1988-09-21,1.21359
1988-09-22,1.22091
1988-09-23,1.22091
1988-09-26,1.23537
1988-09-27,1.24279
1988-09-28,1.30139
1988-09-29,1.31575
1988-09-30,1.27913
1988-10-03,1.27913
1988-10-04,1.24279
1988-10-05,1.23537
1988-10-06,1.22813
1988-10-07,1.25773
1988-10-10,1.27913
1988-10-11,1.31575
1988-10-12,1.35981
1988-10-13,1.32327
1988-10-14,1.30853
1988-10-17,1.30853
1988-10-18,1.30853
1988-10-19,1.29397
1988-10-20,1.33051
1988-10-21,1.33745
1988-10-24,1.33745
1988-10-25,1.30853
1988-10-26,1.29397
1988-10-27,1.26447
1988-10-28,1.24983
1988-10-31,1.23537
1988-11-01,1.24983
1988-11-02,1.22813
1988-11-03,1.23537
1988-11-04,1.24279
1988-11-07,1.22813
1988-11-08,1.22091
1988-11-09,1.19873
1988-11-10,1.19873
1988-11-11,1.15517
1988-11-14,1.18437
1988-11-15,1.20616
1988-11-16,1.18437
1988-11-17,1.16963
1988-11-18,1.16963
1988-11-21,1.16963
1988-11-22,1.17705
1988-11-23,1.16963
1988-11-25,1.16191
1988-11-28,1.16963
1988-11-29,1.18437
1988-11-30,1.19873
1988-12-01,1.19151
1988-12-02,1.18437
1988-12-05,1.22813
1988-12-06,1.24279
1988-12-07,1.24279
1988-12-08,1.24279
1988-12-09,1.21359
1988-12-12,1.22813
1988-12-13,1.23537
1988-12-14,1.22813
1988-12-15,1.19873
1988-12-16,1.21359
1988-12-19,1.21359
1988-12-20,1.19873
1988-12-21,1.18437
1988-12-22,1.19151
1988-12-23,1.20616
1988-12-27,1.18437
1988-12-28,1.18437
1988-12-29,1.19873
1988-12-30,1.17705
1989-01-03,1.18437
1989-01-04,1.22091
1989-01-05,1.22091
1989-01-06,1.22813
1989-01-09,1.27209
1989-01-10,1.29397
1989-01-11,1.28665
1989-01-12,1.29397
1989-01-13,1.28665
1989-01-16,1.27209
1989-01-17,1.27913
1989-01-18,1.33745
1989-01-19,1.33745
1989-01-20,1.35239
1989-01-23,1.37447
1989-01-24,1.34525
1989-01-25,1.35239
1989-01-26,1.37447
1989-01-27,1.34525
1989-01-30,1.42555
1989-01-31,1.49891
1989-02-01,1.48396
1989-02-02,1.46931
1989-02-03,1.44763
1989-02-06,1.43287
1989-02-07,1.42555
1989-02-08,1.42555
1989-02-09,1.44001
1989-02-10,1.43287
1989-02-13,1.45456
1989-02-14,1.42555
1989-02-15,1.4108
1989-02-16,1.39635
1989-02-17,1.38901
1989-02-21,1.4108
1989-02-22,1.37447
1989-02-23,1.35981
1989-02-24,1.34525
1989-02-27,1.35981
1989-02-28,1.36685
1989-03-01,1.35239
1989-03-02,1.36685
1989-03-03,1.35981
1989-03-06,1.36685
1989-03-07,1.4108
1989-03-08,1.39635
1989-03-09,1.42555
1989-03-10,1.4108
1989-03-13,1.41823
1989-03-14,1.39635
1989-03-15,1.38901
1989-03-16,1.40367
1989-03-17,1.35981
1989-03-20,1.35981
1989-03-21,1.37447
1989-03-22,1.37447
1989-03-23,1.37447
1989-03-27,1.37447
1989-03-28,1.38901
1989-03-29,1.37447
1989-03-30,1.37447
1989-03-31,1.38901
1989-04-03,1.41823
1989-04-04,1.39635
1989-04-05,1.40367
1989-04-06,1.41823
1989-04-07,1.41823
1989-04-10,1.41823
1989-04-11,1.44001
1989-04-12,1.47693
1989-04-13,1.47693
1989-04-14,1.48396
1989-04-17,1.47693
1989-04-18,1.49119
1989-04-19,1.48396
1989-04-20,1.46218
1989-04-21,1.46218
1989-04-24,1.47693
1989-04-25,1.46931
1989-04-26,1.47693
1989-04-27,1.49119
1989-04-28,1.50604
1989-05-01,1.55703
1989-05-02,1.55703
1989-05-03,1.54257
1989-05-04,1.51336
1989-05-05,1.5204
1989-05-08,1.50604
1989-05-09,1.48396
1989-05-10,1.49891
1989-05-11,1.50604
1989-05-12,1.54257
1989-05-15,1.56435
1989-05-16,1.57188
1989-05-17,1.57188
1989-05-18,1.5791
1989-05-19,1.5791
1989-05-22,1.5791
1989-05-23,1.5499
1989-05-24,1.53524
1989-05-25,1.52792
1989-05-26,1.5499
1989-05-30,1.59356
1989-05-31,1.6301
1989-06-01,1.6301
1989-06-02,1.66662
1989-06-05,1.67405
1989-06-06,1.64464
1989-06-07,1.6594
1989-06-08,1.67405
1989-06-09,1.66662
1989-06-12,1.69593
1989-06-13,1.68148
1989-06-14,1.69593
1989-06-15,1.6885
1989-06-16,1.70316
1989-06-19,1.73256
1989-06-20,1.74722
1989-06-21,1.7181
1989-06-22,1.71068
1989-06-23,1.74722
1989-06-26,1.70316
1989-06-27,1.73256
1989-06-28,1.70316
1989-06-29,1.6885
1989-06-30,1.6594
1989-07-03,1.64464
1989-07-05,1.69593
1989-07-06,1.73256
1989-07-07,1.75444
1989-07-10,1.74722
1989-07-11,1.74722
1989-07-12,1.78364
1989-07-13,1.80543
1989-07-14,1.78364
1989-07-17,1.79098
1989-07-18,1.79098
1989-07-19,1.7985
1989-07-20,1.8277
1989-07-21,1.8277
1989-07-24,1.82028
1989-07-25,1.84206
1989-07-26,1.90067
1989-07-27,1.96641
1989-07-28,1.92988
1989-07-31,1.94443
1989-08-01,1.91532
1989-08-02,1.88602
1989-08-03,1.84958
1989-08-04,1.86404
1989-08-07,1.89334
1989-08-08,1.88602
1989-08-09,1.85681
1989-08-10,1.83502
1989-08-11,1.8277
1989-08-14,1.84206
1989-08-15,1.84958
1989-08-16,1.88602
1989-08-17,1.87136
1989-08-18,1.87136
1989-08-21,1.8277
1989-08-22,1.7985
1989-08-23,1.81286
1989-08-24,1.87136
1989-08-25,1.87136
1989-08-28,1.88602
1989-08-29,1.8277
1989-08-30,1.85681
1989-08-31,1.84206
1989-09-01,1.84206
1989-09-05,1.85681
1989-09-06,1.83502
1989-09-07,1.81286
1989-09-08,1.7985
1989-09-11,1.80543
1989-09-12,1.81286
1989-09-13,1.78364
1989-09-14,1.76919
1989-09-15,1.78364
1989-09-18,1.77632
1989-09-19,1.7985
1989-09-20,1.81286
1989-09-21,1.78364
1989-09-22,1.76919
1989-09-25,1.75444
1989-09-26,1.73256
1989-09-27,1.7396
1989-09-28,1.7985
1989-09-29,1.83502
1989-10-02,1.85681
1989-10-03,1.87136
1989-10-04,1.908
1989-10-05,1.88602
1989-10-06,1.90067
1989-10-09,1.88602
1989-10-10,1.90067
1989-10-11,1.82028
1989-10-12,1.76919
1989-10-13,1.69593
1989-10-16,1.69593
1989-10-17,1.71068
1989-10-18,1.6885
1989-10-19,1.7181
1989-10-20,1.7396
1989-10-23,1.7181
1989-10-24,1.7181
1989-10-25,1.72494
1989-10-26,1.67405
1989-10-27,1.66662
1989-10-30,1.66662
1989-10-31,1.70316
